category_value,override_name,cluster_id,default_name_would_have_been
Mestre,,2,general retail
"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",,3,Institutions/companies
LA VELOCE..,"Transport, shipping & maritime trades",2,general retail
Carpentiere,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Abat jours,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Macchine per scrivere,,8,"Office equipment, electrical, mechanical & industrial trades"
Macchine per scrivere - Calcolatrici - Duplicatori,,8,"Office equipment, electrical, mechanical & industrial trades"
Macchine per scrivere e accessori,,8,"Office equipment, electrical, mechanical & industrial trades"
Macchine per scrivere - Calcolatrici - Duplicatori - OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,,8,"Office equipment, electrical, mechanical & industrial trades"
Macchine per scrivene - Calcilatrici - Duplicatori,,8,"Office equipment, electrical, mechanical & industrial trades"
SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,,8,"Office equipment, electrical, mechanical & industrial trades"
SCHEDARI - MOBILI PER UFFICI - MACCHINE CONTABILI MACCHINE PER SCRIVERE DUPLICATORI - ACCESSORI,,8,"Office equipment, electrical, mechanical & industrial trades"
macchine contabili calcolatrici,,8,"Office equipment, electrical, mechanical & industrial trades"
Bar,"Food, grocery & hospitality trade",2,general retail
bar,"Food, grocery & hospitality trade",2,general retail
Latterie,"Food, grocery & hospitality trade",2,general retail
Latteria,"Food, grocery & hospitality trade",2,general retail
Osterie,"Food, grocery & hospitality trade",2,general retail
osteria,"Food, grocery & hospitality trade",2,general retail
Osteria,"Food, grocery & hospitality trade",2,general retail
osterie,"Food, grocery & hospitality trade",2,general retail
LOCANDE,"Food, grocery & hospitality trade",2,general retail
Vini,"Food, grocery & hospitality trade",2,general retail
vini,"Food, grocery & hospitality trade",2,general retail
Liqouri,"Food, grocery & hospitality trade",2,general retail
Dolciumi,"Food, grocery & hospitality trade",2,general retail
Agrumi,"Food, grocery & hospitality trade",2,general retail
Birrerie,"Food, grocery & hospitality trade",2,general retail
birreria,"Food, grocery & hospitality trade",2,general retail
Birreria,"Food, grocery & hospitality trade",2,general retail
Hotel,"Food, grocery & hospitality trade",2,general retail
albergo,"Food, grocery & hospitality trade",2,general retail
Albergo,"Food, grocery & hospitality trade",2,general retail
pensione,"Food, grocery & hospitality trade",2,general retail
Pensione,"Food, grocery & hospitality trade",2,general retail
o. pensione,"Food, grocery & hospitality trade",2,general retail
Uova,"Food, grocery & hospitality trade",2,general retail
