page_num,Category,n_rows,n_unique_names
335,Location:Mestre,19,18
337,Location:Mestre,12,12
338,Azienda,15,15
340,Location:Mestre,14,14
342,Banco di Roma,16,16
342,Banco di Sicilia,10,10
346,MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,17,17
347,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,18,17
350,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,24,23
351,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,43,42
352,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,38,38
353,ottica ingegneria fotografia,9,9
354,ottica ingegneria fotografia,7,7
355,AGENZIA P. BORTOLUZZI,49,49
357,ARTI GRAFICHE ESPERIA,5,5
357,trattoria,5,5
358,trattoria,6,6
359,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,34,34
360,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,41,40
362,cantiere navale,9,9
364,ZAGO F.LLI,21,21
367,Cassa di Risparmio di Venezia,37,36
368,ZAGO F.LLI,34,34
369,Cassa di Risparmio di Venezia,29,29
370,CINEMA S. Margherita,12,12
371,Colorificio Veneziano,44,41
374,Commercial,47,47
375,macelleria,6,6
379,salumi (negozio),7,7
379,trattoria,7,7
380,alimentari (dett.),6,6
383,AFFITTANO APPARTAMENTI,49,48
386,VISITOSI GUIDO,8,8
386,casa editrice,6,6
389,Forniture complete MOBILI e ACCESSORI per UFFICIO,26,26
391,Avvocato,6,6
393,VALESE LUIGI,57,56
394,VALESE LUIGI,46,43
397,VALESE LUIGI,18,18
398,VALESE LUIGI,31,30
400,Nuova Editoriale S. A.,46,45
403,Nuova Editoriale S. A.,30,29
404,Nuova Editoriale S. A.,44,40
405,Nuova Editoriale S. A.,8,8
406,Nuova Editoriale S. A.,31,31
407,OPIFCINA RIPARAZIONI MACCHINE PER SCRIVERE,15,15
408,OPIFCINA RIPARAZIONI MACCHINE PER SCRIVERE,31,31
409,ORGANIZATION,6,6
410,ORGANIZATION,40,39
412,osteria,5,5
414,Affitti Appartamenti,7,7
415,Affitti Appartamenti,8,8
415,barbiere,5,5
428,MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,10,10
429,Olimpia Film,45,45
431,Paganotto Elsa,36,34
432,Olimpia Film,34,31
433,Olimpia Film,46,43
434,Olimpia Film,37,37
436,Paganotto Elsa,43,42
437,Paganotto Elsa,43,43
438,Paganotto Elsa,12,12
438,rappresentante,5,5
439,sarta,5,5
440,cappelano S. Bingio (Chiesa della Marina).,31,31
441,cappelano S. Bingio (Chiesa della Marina).,28,27
442,cappelano S. Bingio (Chiesa della Marina).,9,9
448,cappelano S. Bingio (Chiesa della Marina).,37,35
450,Commerciale,38,38
450,Istituzioni,8,8
459,"agenzia di viaggi e turismo,Cappellont Aldo",5,5
460,"agenzia di viaggi e turismo,Cappellont Aldo",20,20
462,Compra-vendita immobili,8,8
462,Soc. An. d'Acquisto di materiali,5,5
463,Società immobiliare,13,13
463,Società industriale,6,6
464,Business,36,35
465,Stabilimento Marghera,12,12
466,Stabilimento Marghera,9,9
467,Stabilimento Marghera,36,36
469,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,29,29
470,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,30,30
471,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,43,42
472,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,44,42
473,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,26,24
475,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,10,10
476,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,6,6
477,OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,8,8
478,MACCHINE per scrivere -- Calcolatrici - Duplicatori,12,12
479,MACCHINE per scrivere -- Calcolatrici - Duplicatori,8,8
480,MACCHINE per scrivere -- Calcolatrici - Duplicatori,10,10
481,MACCHINE per scrivere -- Calcolatrici - Duplicatori,11,11
481,panificio,6,6
482,MACCHINE per scrivere -- Calcolatrici - Duplicatori,39,38
483,MACCHINE per scrivere -- Calcolatrici - Duplicatori,8,7
484,Commerce,20,20
484,Craftsmanship,6,6
485,MACCHINE per scrivere -- Calcolatrici - Duplicatori,25,25
486,MACCHINE per scrivere -- Calcolatrici - Duplicatori,54,52
487,Forniture complete MOBILI e ACCESSORI per UFFICIO,47,47
