n_rows,count
"Fashion, textiles & personal goods retail",2216
"Food, grocery & pharmacy retail",2049
"Industrial, technical & construction trades",1741
"Visual, decorative arts & antiques",1451
"Governance, civic administration & institutional titles",1298
General commerce & advertising,1043
"Maritime, shipping & transport",1023
Hospitality & dining,870
Retail trade & consumer goods,790
Medical professions,325
Legal & professional titles,308
"Property, banking & insurance businesses",225
Religious & civic institutions,163
Education & academic institutions,152
