Category,Rows,% of categorized
"Fashion, textiles & personal goods retail",2112,15.4
"Restaurants, cafés & retail shops",1858,13.5
Medical professions,1471,10.7
"Governance, civic administration & institutional titles",1400,10.2
Industrial & electrical trades,1356,9.9
"Maritime, shipping & transport",1303,9.5
"Visual, decorative arts & antiques",1193,8.7
Wholesale & agricultural suppliers,999,7.3
"Construction, carpentry & building materials",798,5.8
Business & financial institutions,679,4.9
Legal & accounting professions,282,2.1
Religious & civic institutions,161,1.2
Education & academic institutions,123,0.9
