n_rows,count
"Fashion, textiles & personal goods retail",2112
"Restaurants, cafés & retail shops",1858
Medical professions,1471
"Governance, civic administration & institutional titles",1400
Industrial & electrical trades,1356
"Maritime, shipping & transport",1303
"Visual, decorative arts & antiques",1193
Wholesale & agricultural suppliers,999
"Construction, carpentry & building materials",798
Business & financial institutions,679
Legal & accounting professions,282
Religious & civic institutions,161
Education & academic institutions,123
