occupation,frequency,cluster_id,category_name
prodotti chimici,44,0,"Industrial, technical & construction trades"
Elettricisti e Idraulici,37,0,"Industrial, technical & construction trades"
Ingegneri,32,0,"Industrial, technical & construction trades"
Legnami e pali da costruzioni,29,0,"Industrial, technical & construction trades"
Febbri ferrai e meccecini,25,0,"Industrial, technical & construction trades"
Carboni Fossili e Ligniti,24,0,"Industrial, technical & construction trades"
Materiali per costruzioni edilizie,24,0,"Industrial, technical & construction trades"
industria,23,0,"Industrial, technical & construction trades"
Elettricità,22,0,"Industrial, technical & construction trades"
Prodotti chimici,21,0,"Industrial, technical & construction trades"
Elettricità - Idraulica,19,0,"Industrial, technical & construction trades"
carbone e legna (dettaglio),18,0,"Industrial, technical & construction trades"
macchinari,16,0,"Industrial, technical & construction trades"
Apparecchi e materiale radio,15,0,"Industrial, technical & construction trades"
Ferramenta e metalli,15,0,"Industrial, technical & construction trades"
carbone e legna,15,0,"Industrial, technical & construction trades"
Materiale elettrico,14,0,"Industrial, technical & construction trades"
Carpentieri,14,0,"Industrial, technical & construction trades"
Carboni - Legna,13,0,"Industrial, technical & construction trades"
Lavanderie meccaniche,13,0,"Industrial, technical & construction trades"
Olii minerali,13,0,"Industrial, technical & construction trades"
ingegnere,13,0,"Industrial, technical & construction trades"
Ferramenta in Genere,12,0,"Industrial, technical & construction trades"
Tubazioni industriali,12,0,"Industrial, technical & construction trades"
MOBILI USATI,11,0,"Industrial, technical & construction trades"
Combustibili solidi,10,0,"Industrial, technical & construction trades"
Fornaci da calce e laterizi,10,0,"Industrial, technical & construction trades"
Pellett erie (fabbriche),10,0,"Industrial, technical & construction trades"
Meccanica,9,0,"Industrial, technical & construction trades"
Costruzioni edili,9,0,"Industrial, technical & construction trades"
Combustibili liquidi,9,0,"Industrial, technical & construction trades"
elettricista e idraulico,9,0,"Industrial, technical & construction trades"
Articoli di Gomma e affini,8,0,"Industrial, technical & construction trades"
Grammofoni e dischi,8,0,"Industrial, technical & construction trades"
Lubrificanti,8,0,"Industrial, technical & construction trades"
fabbro ferraio e meccanico,8,0,"Industrial, technical & construction trades"
Category: Acqua - Gas - Elettricità,7,0,"Industrial, technical & construction trades"
Articoli Tecnici,7,0,"Industrial, technical & construction trades"
Carbone e Legna,7,0,"Industrial, technical & construction trades"
Ferri e metalli usati,7,0,"Industrial, technical & construction trades"
Olii combustibili,7,0,"Industrial, technical & construction trades"
apparecchi e materiale radio,7,0,"Industrial, technical & construction trades"
Riscaldamento e fumisterie,7,0,"Industrial, technical & construction trades"
Apparecchiature elettriche automatiche,6,0,"Industrial, technical & construction trades"
Costruttori edili,6,0,"Industrial, technical & construction trades"
Fonderie Meccaniche,6,0,"Industrial, technical & construction trades"
"Incisori, cesellatori sbozzatori",6,0,"Industrial, technical & construction trades"
Macchine calcolatrici,6,0,"Industrial, technical & construction trades"
Officine elettromeccaniche,6,0,"Industrial, technical & construction trades"
rappresentante prodotti chimici,6,0,"Industrial, technical & construction trades"
elettricità idraulica e gas,6,0,"Industrial, technical & construction trades"
Società industriale,6,0,"Industrial, technical & construction trades"
Metano,5,0,"Industrial, technical & construction trades"
Minerali,5,0,"Industrial, technical & construction trades"
Ingegnere,5,0,"Industrial, technical & construction trades"
legnami e pali da costruzioni,5,0,"Industrial, technical & construction trades"
radio (riparazioni),5,0,"Industrial, technical & construction trades"
Macchine per ufficio,4,0,"Industrial, technical & construction trades"
Chimica,4,0,"Industrial, technical & construction trades"
Carburanti Olii ed affini,4,0,"Industrial, technical & construction trades"
Macchine contabili,4,0,"Industrial, technical & construction trades"
Meccanuficio,4,0,"Industrial, technical & construction trades"
Manipolazione carboni,4,0,"Industrial, technical & construction trades"
Metalli usati,4,0,"Industrial, technical & construction trades"
Officine meccaniche metallurgiche e costruzioni in ferro,4,0,"Industrial, technical & construction trades"
Ottiche (Industria),4,0,"Industrial, technical & construction trades"
articoli elettrici,4,0,"Industrial, technical & construction trades"
strumenti musicali,4,0,"Industrial, technical & construction trades"
ferramenta e metalli,4,0,"Industrial, technical & construction trades"
liquori (fabbrica e deposito),4,0,"Industrial, technical & construction trades"
Acque gassate,3,0,"Industrial, technical & construction trades"
Acque minerali,3,0,"Industrial, technical & construction trades"
Alluminio,3,0,"Industrial, technical & construction trades"
Argentatura e doratura,3,0,"Industrial, technical & construction trades"
"Armi, munizioni, proiettili",3,0,"Industrial, technical & construction trades"
Metalli greggi e lavorati,3,0,"Industrial, technical & construction trades"
MOBILI DI FERRO,3,0,"Industrial, technical & construction trades"
mobili (fabbriche),3,0,"Industrial, technical & construction trades"
carbone e legna (grossista),3,0,"Industrial, technical & construction trades"
articoli di gomma,3,0,"Industrial, technical & construction trades"
mobili usati,3,0,"Industrial, technical & construction trades"
friggitore e commestibili cotti,3,0,"Industrial, technical & construction trades"
officina meccanica e metallurgica,3,0,"Industrial, technical & construction trades"
materiali da costruzione,3,0,"Industrial, technical & construction trades"
rappresentante apparecchi e materiale radio,3,0,"Industrial, technical & construction trades"
acquisto fabbricati e aziende agricole,3,0,"Industrial, technical & construction trades"
carburanti,3,0,"Industrial, technical & construction trades"
