occupation_category_k10,Business & financial institutions,"Construction, carpentry & building materials",Education & academic institutions,"Fashion, textiles & personal goods retail","Governance, civic administration & institutional titles",Industrial & electrical trades,Legal & accounting professions,"Maritime, shipping & transport",Medical professions,Religious & civic institutions,"Restaurants, cafés & retail shops","Visual, decorative arts & antiques",Wholesale & agricultural suppliers
Education & academic institutions,11.2,0.0,60.5,0.0,5.3,0.7,13.8,3.9,3.9,0.0,0.7,0.0,0.0
"Fashion, textiles & personal goods retail",0.1,0.6,0.0,78.5,0.5,6.2,0.0,0.7,2.3,0.0,5.1,2.8,3.3
"Food, grocery & pharmacy retail",0.0,0.1,0.0,0.2,0.0,0.6,0.0,1.2,13.0,0.0,50.7,0.7,33.3
General commerce & advertising,20.7,2.3,0.8,0.5,9.6,3.0,0.7,20.2,35.3,0.1,0.8,5.2,1.0
"Governance, civic administration & institutional titles",5.2,0.3,0.3,0.0,79.1,0.4,4.2,3.4,3.2,2.7,0.3,0.8,0.2
Hospitality & dining,2.6,0.6,0.2,0.6,2.6,0.7,0.0,1.4,12.6,2.8,71.7,0.7,3.4
"Industrial, technical & construction trades",0.5,29.1,0.1,3.5,0.4,51.8,0.0,1.0,3.5,0.0,0.7,4.7,4.6
Legal & professional titles,5.5,0.0,0.0,0.0,29.9,0.3,64.0,0.0,0.3,0.0,0.0,0.0,0.0
"Maritime, shipping & transport",0.5,5.5,0.0,0.4,0.4,1.4,0.0,89.6,1.8,0.0,0.2,0.1,0.2
Medical professions,0.6,0.0,0.0,0.0,3.1,2.5,0.0,0.0,93.2,0.0,0.6,0.0,0.0
"Property, banking & insurance businesses",99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Religious & civic institutions,4.9,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,55.2,2.5,6.7,3.7
Retail trade & consumer goods,9.9,11.4,1.1,9.5,4.7,12.7,0.4,4.3,20.0,1.1,5.2,5.8,13.9
"Visual, decorative arts & antiques",0.0,6.5,0.4,14.8,2.5,7.3,0.0,1.4,4.4,0.0,0.1,62.2,0.2
