canonical_label,frequency,cluster_id,category_name
General medicine,323,0,Medical professions
legal profession,142,0,Legal & accounting professions
Municipal cemeteries,139,0,"Governance, civic administration & institutional titles"
Unknown,56,0,Medical professions
pharmacy,49,0,Medical professions
unknown,45,0,Medical professions
watchmaking,37,0,Industrial & electrical trades
boxes,36,0,Medical professions
veterinary,30,0,Medical professions
midwifery,28,0,Medical professions
Various Representations,27,0,Medical professions
nursing homes,25,0,Medical professions
Legal profession,25,0,Legal & accounting professions
Patriarchal Basilica of St. Mark,24,0,Religious & civic institutions
Labor,23,0,"Governance, civic administration & institutional titles"
Educational Institution,21,0,Education & academic institutions
Dental Offices,21,0,Medical professions
Pest control,21,0,Industrial & electrical trades
Jewish community,20,0,Religious & civic institutions
Cinema,20,0,"Visual, decorative arts & antiques"
Clergy,18,0,Religious & civic institutions
Engineering,18,0,Medical professions
various representations,18,0,Medical professions
Newspapers,18,0,"Visual, decorative arts & antiques"
active members,17,0,"Governance, civic administration & institutional titles"
pensions,17,0,"Governance, civic administration & institutional titles"
Pharmacy,17,0,Medical professions
Hotel,15,0,Medical professions
Medical profession,15,0,Medical professions
agriculture,14,0,Medical professions
paper,14,0,Medical professions
inns,13,0,Medical professions
Religious institution/clergy,12,0,Religious & civic institutions
Scientific and Educational,12,0,Education & academic institutions
Education/language instruction,12,0,Education & academic institutions
newspaper,11,0,"Visual, decorative arts & antiques"
Educational institution,10,0,Medical professions
elementary schools,10,0,Education & academic institutions
parishes and branches,10,0,Religious & civic institutions
Umbrellas,9,0,Medical professions
religious institution,9,0,Religious & civic institutions
Watchmaking,9,0,Industrial & electrical trades
Inn,9,0,Medical professions
Hotels,8,0,Medical professions
Phonographs and records,8,0,Medical professions
Religious institution,8,0,Religious & civic institutions
utilities,8,0,Medical professions
various activities,7,0,Medical professions
component,7,0,"Governance, civic administration & institutional titles"
municipality,7,0,"Governance, civic administration & institutional titles"
Education,6,0,Education & academic institutions
Philatelic section,6,0,"Visual, decorative arts & antiques"
Language and literature,6,0,Education & academic institutions
Address/Location,6,0,Medical professions
rowing club,5,0,"Governance, civic administration & institutional titles"
Midwifery,5,0,Medical professions
disinfection services,5,0,Industrial & electrical trades
medical profession,5,0,Medical professions
Solesin (location),5,0,Medical professions
(unclear),5,0,Medical professions
pulmonary diseases,4,0,Medical professions
religious institution/clergy,4,0,Medical professions
Terraces,4,0,Medical professions
chemistry,4,0,Medical professions
newspapers,4,0,Medical professions
Mill,4,0,Medical professions
library,4,0,Medical professions
Tar,4,0,Medical professions
Olympic sports,4,0,"Governance, civic administration & institutional titles"
civil hospital,4,0,Medical professions
heritage preservation,3,0,"Governance, civic administration & institutional titles"
