k,inertia,silhouette
5,767.548000368698,0.02347406430303501
10,737.2251596992052,0.025426888669055975
15,712.2116473318519,0.029463177040799492
20,692.4027007466432,0.03564166871988471
25,679.219862894144,0.03527489719103123
30,663.7044036514495,0.040824608771821994
35,652.2727880711934,0.04274248584977016
40,644.5704930281893,0.042887822198224276
45,636.2820569567023,0.04532923890349328
50,625.1015982635192,0.046300396344325125
55,615.1331404564671,0.047789208052876904
60,612.019968664272,0.04836456622369994
