Category,Rows,% of categorized
Advertisement-dominated content,1040,18.1
"General commerce, real estate & advertising",853,14.8
Medical professions,814,14.1
Industrial & construction trades,558,9.7
"Visual, decorative & graphic arts",482,8.4
"Government, military & public administration",460,8.0
Religious & civic institutions,391,6.8
Retail trade & consumer goods,276,4.8
Governance & administrative titles,275,4.8
"Transport, maritime & communications",185,3.2
Education & academic institutions,179,3.1
"Legal, economic & administrative professions",168,2.9
"Institutions, press & sport",72,1.3
