profession,frequency,cluster_id,category_name
Vendita e Mobilizzi,584,0,"General commerce, real estate & advertising"
CIMITERI COMUNALI,139,0,"Government, military & public administration"
Concessionario esclusivo: Rag. Cleto Rossini,124,0,"General commerce, real estate & advertising"
MEDICI DELLA PROVINCIA,120,0,Medical professions
al Porto di Venezia,119,0,"Transport, maritime & communications"
AFFITTAVOLI,54,0,"General commerce, real estate & advertising"
Commissariato di S. Elena,52,0,"Government, military & public administration"
Agenzia P. Bortoluzzi,49,0,"General commerce, real estate & advertising"
FERROVIE DELLO STATO,44,0,"Transport, maritime & communications"
Giovanni e Paolo,37,0,Religious & civic institutions
Ufficio postale,31,0,"Government, military & public administration"
PARROCCHIE E SUCCURSALI,29,0,Religious & civic institutions
Società MARE,27,0,Industrial & construction trades
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,24,0,Religious & civic institutions
Società in NOME COLLETTIVO,19,0,Industrial & construction trades
Agenzia Nazionale Stampa Associata,18,0,"Institutions, press & sport"
ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,17,0,Religious & civic institutions
Comitato di Venezia,17,0,Religious & civic institutions
numero. 920,17,0,
OPERA NAZIONALE PER LA PROTEZIONE E ASSISTENZA DEGLI INVALIDI DI GUERRA,16,0,"Government, military & public administration"
CIRCOLO ARTISTICO DI VENEZIA,15,0,Religious & civic institutions
IL MATTINO DEL POPOLO,11,0,"Institutions, press & sport"
Vanoni Ezio,10,0,
DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,9,0,"Government, military & public administration"
SOCIETA' CANOTTIERI BUCIUNTORO,8,0,"Institutions, press & sport"
Attività varie,7,0,"General commerce, real estate & advertising"
CONSORZIO DI BONIFICA DESE SUPERIORE,7,0,Industrial & construction trades
SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,6,0,Religious & civic institutions
Azienda Idroelettrica,5,0,Industrial & construction trades
Commissione del Listino,5,0,"Legal, economic & administrative professions"
DELLA CA’ PESARO,4,0,Religious & civic institutions
DIREZIONE BELLE ARTI DEL COMUNE,4,0,"Government, military & public administration"
SPORT OLIMPICI,4,0,"Institutions, press & sport"
Category: Provvianza e Credito,4,0,"Legal, economic & administrative professions"
GUÏDA COMMERCIALE DI VENEZIA E PROVINCIA,4,0,"Institutions, press & sport"
Società Cooperativa Lavori e Recuperi Marittimi e Fluviali A. r. l.,4,0,"Transport, maritime & communications"
Category: Attività Marittime ed Aeree,3,0,"Transport, maritime & communications"
Venezia,3,0,
CASINO DI COMMERCIO,3,0,Religious & civic institutions
Squadra Mobile,3,0,"Government, military & public administration"
Altri Consolati aventi giurisdizione sulla Regione Veneta,2,0,"Government, military & public administration"
QUERINI STAMPALIA,2,0,Religious & civic institutions
SOCIETA ITALIANA DEGLI AUTORI ED EDITORI,2,0,"Institutions, press & sport"
Osp. Civile,2,0,Medical professions
Società di assicurazioni,2,0,Industrial & construction trades
Soc. Industriale es. Marco,2,0,Industrial & construction trades
Soc. Montedison per l'industria chimica,2,0,Industrial & construction trades
Società ITMA,2,0,Industrial & construction trades
" S. Giovanni Laterano, , ",2,0,"General commerce, real estate & advertising"
"DIREZIONE LOTTO,",2,0,"Government, military & public administration"
Assicurazioni Generali,1,0,Industrial & construction trades
 Santa Croce (IV),1,0,"General commerce, real estate & advertising"
Mazzorbo di Burano,1,0,
Rio del Pontelungo,1,0,
Stabilimento I. N. A.,1,0,"Government, military & public administration"
Riva del Carbon,1,0,
presso Albergo Danieli,1,0,"General commerce, real estate & advertising"
presso ditta 'Jessurum',1,0,Retail trade & consumer goods
presso Italian,1,0,
presso Adriatica di Navigazione,1,0,"Transport, maritime & communications"
Via Torre Belfredo,1,0,
"Uffici Finanziari di Mirano,",1,0,"Government, military & public administration"
" Ufficio Idrografico, ",1,0,"General commerce, real estate & advertising"
Gruppo Ristoranti trattorie,1,0,"General commerce, real estate & advertising"
Gruppo: Osterie,1,0,"General commerce, real estate & advertising"
 Caccia e Pesca,1,0,"General commerce, real estate & advertising"
Corsi vari di istruzione professionale per artigiani e operai in tutto il Veneto,1,0,Education & academic institutions
Sezione Autonoma di Credito per le Piccole Industrie e l’Artigianato,1,0,"Legal, economic & administrative professions"
Ufficio Commissionario Industrie e Artigiane con Mostre campionarie permanenti di prodotti tipici dell’artigianato e delle piccole industrie venete,1,0,"Legal, economic & administrative professions"
Biblioteca di consultazione per artigiani e piccoli industriali (aperto tutti i giorni feriali nelle ore d’Ufficio),1,0,Education & academic institutions
"Asilo e Morioni n. S. Francesco della Vigna, numero 2951",1,0,
" anche per Giudecca, , ",1,0,"General commerce, real estate & advertising"
" anche per S. Polo, , ",1,0,"General commerce, real estate & advertising"
Agente principale della Società Autori ed Editori della Agenzia di Venezia,1,0,"Institutions, press & sport"
Fed. Ginnastica d'Italia (FGDI),1,0,"Institutions, press & sport"
Unione It. Tiro a Segno (UITS),1,0,"Institutions, press & sport"
"Pres. Reg., Fed. It. Sport Invernali (FISI)",1,0,"Institutions, press & sport"
Fed. It. Pattinaggio su Ghiaccio,1,0,"Institutions, press & sport"
Fed. It. Hockey su Ghiaccio,1,0,"Institutions, press & sport"
Fed. It Gioco Calcio (FIGC),1,0,"Institutions, press & sport"
presso Lega Reg.,1,0,Religious & civic institutions
Osp. Marino,1,0,Medical professions
dirett. Cro-nici,1,0,
"Murano, Venezia",1,0,
"Carpenedo, Mestre",1,0,
 Venezia,1,0,"General commerce, real estate & advertising"
 Città Giardino,1,0,"General commerce, real estate & advertising"
Divisione S. Lucia,1,0,"Government, military & public administration"
loc. Gaggio,1,0,
Riceve dalle ore 15 alle ore 18,1,0,
"Via XXII, marzo",1,0,
Ca' Foscari,1,0,Education & academic institutions
Conterie 24,1,0,
Capo Stazione l. A. Agg.,1,0,"Government, military & public administration"
Azienda,1,0,Industrial & construction trades
 spec. Vernizione,1,0,"General commerce, real estate & advertising"
Alessandro e Auiorio,1,0,
"Di vetterti Aumn, Istibuto Prov. degli Esposanti",1,0,
"Velluti, Soprarizzo, Broccati, Damascoti Per Ammobramento, Chiese Passamenterie",1,0,Retail trade & consumer goods
Amm. Imposte di Consumo del Comune,1,0,"Government, military & public administration"
località Dese,1,0,
P.le Stazione,1,0,
 Viale Stazione presso Autostimesa Standa,1,0,"General commerce, real estate & advertising"
Via F.lli Bandierine,1,0,
Strada Nuova,1,0,
Via Galuppi,1,0,
Via Spalti,1,0,
Ferrovie dello Stato,1,0,"Transport, maritime & communications"
Colonia Alpina S. Marco,1,0,Religious & civic institutions
Telefono 34-285,1,0,
agenzia nolleggio film,1,0,"Visual, decorative & graphic arts"
Agente per l Venetti E. A. Super Lux 8,1,0,
ved. Bianchi,1,0,
 al Pingrosso,1,0,"General commerce, real estate & advertising"
Ufficio di Venezia,1,0,"Government, military & public administration"
S. Filippo e Giacomo,1,0,Religious & civic institutions
"Mestre, Via Circonvallazione 2.C.",1,0,
 Parigi,1,0,"General commerce, real estate & advertising"
 della Prev. Sociale,1,0,"General commerce, real estate & advertising"
specialità veneziane,1,0,Retail trade & consumer goods
noleggio imbarcazioni,1,0,"Transport, maritime & communications"
pres Lega R:9,1,0,Religious & civic institutions
Banca Popolare di Novara,1,0,Industrial & construction trades
SS. Pietro e Caterina,1,0,Religious & civic institutions
Rialto 1364,1,0,
"Alla Nuova Trattoria, di Mario",1,0,"General commerce, real estate & advertising"
Via Velarino,1,0,
agenzia d’affari,1,0,Industrial & construction trades
Stabilimento : Casa di Pena,1,0,"Government, military & public administration"
Ferrovie de lo Stato,1,0,"Transport, maritime & communications"
Cimiteri Comunali,1,0,"Government, military & public administration"
Società Anonima,1,0,Industrial & construction trades
Societa Canottieri Bucintoro,1,0,"Institutions, press & sport"
Punta Sabbioni,1,0,
piazza 22 Marzo,1,0,
Gazzera Alta 158,1,0,
Direzione Lotto,1,0,"Government, military & public administration"
informazioni comm.,1,0,
Palazzo Surian,1,0,
Cannareguo 1984-85.,1,0,
S. Trovaso. Palazzo Giustiniani,1,0,
 Grande Salone per banchetti e Rinfreschi,1,0,"General commerce, real estate & advertising"
 agenzia marittima,1,0,"General commerce, real estate & advertising"
Dirett. Macello Comunale,1,0,"Government, military & public administration"
Istituto Nazionale per l'Addestramento Professionale Lavoratori dell'Industria,1,0,Education & academic institutions
Autotrasporti,1,0,"Transport, maritime & communications"
Ispet. Capo Amm. Imposte Consumo del Comune,1,0,"Government, military & public administration"
Altri Stazione,1,0,
"Lido, Via Malamocco 38",1,0,
nomina per Valli in provincia di Venezia e Campagnaluqa,1,0,
Palazzo Bonambo,1,0,
succ. di Gaio Ernengildo,1,0,
Viale S. M. Elisabetta,1,0,
Concessionarie Marelli,1,0,Industrial & construction trades
 specialità Veneziane,1,0,"General commerce, real estate & advertising"
 Imbarcazioni,1,0,"General commerce, real estate & advertising"
