n_rows,count
"Textiles, clothing",2485
"Food, grocery & hospitality trade",2350
"Real estate, construction & business services",1070
"Legal, financial & administrative professions ",1020
"Decorative arts, photography, antiques & artisan crafts",993
"Transport, shipping & maritime trades",834
"Chemicals, fuel, construction materials & raw materials",758
"Office equipment, electrical, mechanical & industrial trades",724
Institutions/companies,273
general retail,127
Religious institutions & clergy,34
"Culture, entertainment & leisure",19
