n_rows,count
"Textiles, clothing, footwear, haberdashery & perfumery",1611
"Hospitality, dining & retail shops",1427
Food & beverages,1069
"Construction, carpentry, chemicals, fuel & raw materials",1064
"Wholesale, agricultural & general commerce trades",857
"Transport, shipping & maritime trades",812
"Office equipment, stationery, printing, publishing & photography",644
Institutions & companies,620
"Decorative arts, antiques & artisan crafts",602
"Legal, financial & administrative professions",565
"Electrical, mechanical, industrial & automotive trades",491
Religious institutions & clergy,153
