canonical_label,frequency,cluster_id,category_name
Venetian specialties,98,0,Food & beverages
dairies,85,0,Food & beverages
chemical products,66,0,"Construction, carpentry, chemicals, fuel & raw materials"
food products,66,0,Food & beverages
perfumery,51,0,"Textiles, clothing, footwear, haberdashery & perfumery"
Various representations,44,0,Food & beverages
Boxes,36,0,Food & beverages
Notions,35,0,Food & beverages
Dairy,35,0,Food & beverages
Edible oils,29,0,Food & beverages
Toys,27,0,Food & beverages
Flowers and plants,25,0,Food & beverages
Pearls,22,0,Food & beverages
liquors,22,0,Food & beverages
messengers,20,0,Food & beverages
Food representative,18,0,Food & beverages
Perfumery,17,0,"Textiles, clothing, footwear, haberdashery & perfumery"
dried fruit,16,0,Food & beverages
fried foods,16,0,Food & beverages
coffee roasting,16,0,Food & beverages
Coffee,16,0,Food & beverages
flowers,15,0,Food & beverages
ice,15,0,Food & beverages
citrus fruits,15,0,Food & beverages
wines,15,0,Food & beverages
mineral oils,13,0,"Construction, carpentry, chemicals, fuel & raw materials"
raincoats,13,0,Food & beverages
inns,13,0,Food & beverages
Oil,12,0,"Construction, carpentry, chemicals, fuel & raw materials"
sweets,12,0,Food & beverages
lubricants,10,0,"Construction, carpentry, chemicals, fuel & raw materials"
Garbage,10,0,
Liquid fuels,9,0,"Construction, carpentry, chemicals, fuel & raw materials"
umbrellas,9,0,Food & beverages
Chemical representative,8,0,"Construction, carpentry, chemicals, fuel & raw materials"
fruit,8,0,Food & beverages
drugs,8,0,Food & beverages
Plant fibers,7,0,Food & beverages
Perfumes,7,0,"Textiles, clothing, footwear, haberdashery & perfumery"
fuel oils,7,0,"Construction, carpentry, chemicals, fuel & raw materials"
musical instruments,7,0,Food & beverages
edible oils,7,0,Food & beverages
food representative,6,0,Food & beverages
ice houses,6,0,Food & beverages
Vegetables,6,0,Food & beverages
Rotisserie,6,0,Food & beverages
canned fish,6,0,Food & beverages
Candles,5,0,Food & beverages
Eggs,5,0,Food & beverages
Wine,5,0,Food & beverages
Minerals,5,0,Food & beverages
Disinfection,5,0,Food & beverages
toys,5,0,Food & beverages
Cold cuts,5,0,Food & beverages
Mattresses,5,0,Food & beverages
fruits and vegetables,5,0,Food & beverages
Natural gas,5,0,"Construction, carpentry, chemicals, fuel & raw materials"
Terraces,4,0,Food & beverages
Cork,4,0,Food & beverages
Grains,4,0,Food & beverages
Cosmetics,4,0,Food & beverages
liquor,4,0,Food & beverages
Soaps,4,0,Food & beverages
Oilseeds,4,0,Food & beverages
Liquors,4,0,Food & beverages
Sugar,4,0,Food & beverages
Syrups,4,0,Food & beverages
Musical instruments,4,0,Food & beverages
fuels and oils,4,0,"Construction, carpentry, chemicals, fuel & raw materials"
fuels,4,0,"Construction, carpentry, chemicals, fuel & raw materials"
Carbonated water,4,0,Food & beverages
tar,4,0,"Construction, carpentry, chemicals, fuel & raw materials"
Poultry,4,0,Food & beverages
mineral water,3,0,Food & beverages
soft drinks,3,0,Food & beverages
beer,3,0,Food & beverages
arms and ammunition,3,0,Food & beverages
baking flavors,3,0,Food & beverages
cereals,3,0,Food & beverages
flags,3,0,Food & beverages
fishing,3,0,Food & beverages
detergents,3,0,Food & beverages
Seafood,3,0,Food & beverages
threshing,3,0,Food & beverages
Tires,3,0,Food & beverages
Oils,3,0,"Construction, carpentry, chemicals, fuel & raw materials"
Fertilizers,3,0,Food & beverages
rotisserie,3,0,Food & beverages
scales,3,0,Food & beverages
novelties,3,0,Food & beverages
Fish and seafood,3,0,Food & beverages
perfume representative,2,0,"Textiles, clothing, footwear, haberdashery & perfumery"
Vinegar,2,0,Food & beverages
Jams,2,0,Food & beverages
Fruit and vegetable drying,2,0,Food & beverages
Canned fruits and vegetables,2,0,Food & beverages
Sulfur,2,0,Food & beverages
Zincography,2,0,Food & beverages
Coffee roasting,2,0,Food & beverages
Coatings,2,0,Food & beverages
wineries,2,0,Food & beverages
coffee substitutes,2,0,Food & beverages
Gas,2,0,"Construction, carpentry, chemicals, fuel & raw materials"
fried food,2,0,Food & beverages
eggs,2,0,Food & beverages
dairy products,2,0,Food & beverages
dairy,2,0,Food & beverages
cutlery,2,0,Food & beverages
caviar,2,0,Food & beverages
pianos,2,0,Food & beverages
Bottiglie,2,0,Food & beverages
Brushes and combs,2,0,Food & beverages
bitumen,2,0,"Construction, carpentry, chemicals, fuel & raw materials"
meats,2,0,Food & beverages
Salumi,2,0,Food & beverages
Fiori e Piante,2,0,Food & beverages
Sails and flags,2,0,Food & beverages
Pesticides,2,0,Food & beverages
Petroleum products,2,0,"Construction, carpentry, chemicals, fuel & raw materials"
Fertilizers and fungicides,2,0,Food & beverages
liquid fuels,2,0,"Construction, carpentry, chemicals, fuel & raw materials"
Seeds,2,0,Food & beverages
fruit and vegetable drying,1,0,Food & beverages
watches,1,0,Food & beverages
preserved fish and meat,1,0,Food & beverages
solid and liquid fuels,1,0,"Construction, carpentry, chemicals, fuel & raw materials"
mill,1,0,Food & beverages
milk,1,0,Food & beverages
minerals,1,0,Food & beverages
fishing and public domain,1,0,Food & beverages
refrigerators,1,0,Food & beverages
flowers and plants,1,0,Food & beverages
wine and oil,1,0,Food & beverages
salami,1,0,Food & beverages
hides,1,0,Food & beverages
oils,1,0,"Construction, carpentry, chemicals, fuel & raw materials"
olive oil equipment,1,0,Food & beverages
intestines,1,0,Food & beverages
inks,1,0,Food & beverages
insecticides,1,0,Food & beverages
herbal medicine,1,0,Food & beverages
neon signs,1,0,Food & beverages
spa,1,0,Food & beverages
pesticides,1,0,Food & beverages
pearls,1,0,Food & beverages
petroleum,1,0,"Construction, carpentry, chemicals, fuel & raw materials"
spirits,1,0,Food & beverages
petroleum products,1,0,"Construction, carpentry, chemicals, fuel & raw materials"
Venetian cuisine,1,0,Food & beverages
Gravel,1,0,Food & beverages
Gasoline,1,0,"Construction, carpentry, chemicals, fuel & raw materials"
Horse Meat,1,0,Food & beverages
Horse meat,1,0,Food & beverages
Fish and Shellfish,1,0,Food & beverages
Food assistance,1,0,Food & beverages
