Lieu / Adresse,Latitude,Longitude,Nombre d'entrées
"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",45.4275657,12.321626,124
"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",45.4326886,12.3318999,78
San Trovaso,45.4307884,12.3260267,71
San Luca 4041,45.43583129430079,12.333414297425046,63
Rialto numero 199,45.43919236791097,12.335370469330044,58
Palazzo Loredan,45.4328432,12.3298398,55
CAMPO S. BARTOLOMEO N. 5379,45.437679,12.3368108,52
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,45.4345479,12.3398218,46
S. Marco 4232,45.43518683143428,12.334061639857394,44
TRIBUNALE DIOCESANO E METROPOLITANO,45.526,12.203,40
"San Stae, Palazzo Tron",45.4359348,12.3324406,40
"Piazza San Marco, Procuratie Nuove n. 52",45.433739925557376,12.33853538993374,40
Sezione di Venezia - (ex Palazzo Reale),45.433611,12.337222,37
Riva del sette Martiri,45.4310715,12.352603,35
San Marco 181-A,45.434752494549784,12.33854573986131,35
Accademia di Belle Arti e Liceo Artistico,45.4286325,12.330488,35
"Riva Schiavoni, Succ. n. 2",45.4392531,12.3421993,35
San Lio. calle delle Bande,45.4354,12.3387,32
S. Luca - Calle Bembo,45.4367016,12.3352261,31
"Dorsoduro, Fondamenta delle Zattere allo Spirito Santo numero 423",45.42863999109012,12.3302353210817,31
