category,frequency,cluster_id,category_name
Camicerie da uomo,238,0,"Textiles, clothing"
Bottigliere,70,0,"Textiles, clothing"
Chincaglierie ed affini,56,0,"Textiles, clothing"
Macellerie,54,0,"Textiles, clothing"
Profumerie,49,0,"Textiles, clothing"
Tabaccherie,45,0,"Textiles, clothing"
"Oreficerie, Gioiellerie",42,0,"Textiles, clothing"
Manifattura pellami e calzature,40,0,"Textiles, clothing"
Lingerie e maglierie,40,0,"Textiles, clothing"
Tessuti,37,0,"Textiles, clothing"
sarto da uomo,37,0,"Textiles, clothing"
Scatole,36,0,"Textiles, clothing"
Mercerie,36,0,"Textiles, clothing"
Calzature,35,0,"Textiles, clothing"
Orologerie,32,0,"Textiles, clothing"
calzature,30,0,"Textiles, clothing"
Parrucchieri per signora,28,0,"Textiles, clothing"
bottiglieria,28,0,"Textiles, clothing"
Giocattoli,28,0,"Textiles, clothing"
"Fiori, piante e sementi",25,0,"Textiles, clothing"
tessuti confezioni filati,25,0,"Textiles, clothing"
latteria,24,0,"Textiles, clothing"
cartoleria,22,0,"Textiles, clothing"
Maglierie,19,0,"Textiles, clothing"
Abbigliamento,18,0,"Textiles, clothing"
Sartorie e confezioni per signora,17,0,"Textiles, clothing"
profumeria,17,0,"Textiles, clothing"
Calzaturifici,14,0,"Textiles, clothing"
calzaturificio,14,0,"Textiles, clothing"
lavanderia e stireria,13,0,"Textiles, clothing"
Biancheria e affini,12,0,"Textiles, clothing"
Cappellerie,12,0,"Textiles, clothing"
Confezioni varie,12,0,"Textiles, clothing"
Librerie,12,0,"Textiles, clothing"
Sartorie e confezioni per uomo,12,0,"Textiles, clothing"
Stoffe e Tessuti,12,0,"Textiles, clothing"
Polliccerie,11,0,"Textiles, clothing"
parrucchiere per signora,11,0,"Textiles, clothing"
manifatture,11,0,"Textiles, clothing"
Macelleria,10,0,"Textiles, clothing"
Abiti confezionati,10,0,"Textiles, clothing"
Pellett erie (fabbriche),10,0,"Textiles, clothing"
tappezziere,10,0,"Textiles, clothing"
Calze,9,0,"Textiles, clothing"
sarta da uomo,9,0,"Textiles, clothing"
giornali (rivendita),9,0,"Textiles, clothing"
Merletti e ricami,8,0,"Textiles, clothing"
tessuti,8,0,"Textiles, clothing"
Articoli Sanitari e Affini,7,0,"Textiles, clothing"
lingerie e maglierie,7,0,"Textiles, clothing"
Lavanderie e stirerie,7,0,"Textiles, clothing"
