Category,recovered_value,status
Commerce,Gas,recovered_from_additional_info
Commercial,alimentari (dett.),recovered_from_additional_info
Commercial,"caffè (esercizi) | ""Circolo Varioni""",recovered_from_additional_info
Commercial,"Soc. Coop. a. r. e. 1., alimentari (dett.)",recovered_from_additional_info
Commercial,alimentari (dett.),recovered_from_additional_info
Commercial,compravendita immobili,recovered_from_additional_info
Commercial,"Soc. per Az. a. r. 1., electrica e idraulica",recovered_from_additional_info
Commercial,facchini pubblici,recovered_from_additional_info
Commercial,pirechettaggio e verniciatura piroscafi,recovered_from_additional_info
Commercial,patrimenti Ientazioni,recovered_from_additional_info
Commercial,mosaici,recovered_from_additional_info
Commercial,"s. a. r. 1., alimentari (dett.)",recovered_from_additional_info
Commercial,impresa Edile,recovered_from_additional_info
Commercial,impresa edile,recovered_from_additional_info
Commercial,pesca marittima,recovered_from_additional_info
Commercial,portabagagli | nella Stazione di Venezia,recovered_from_additional_info
Commercial,alimentari (gross.),recovered_from_additional_info
Commercial,autotrasporti,recovered_from_additional_info
Commercial,"Soc. Coop. a. r. 1., trasporti",recovered_from_additional_info
Commercial,facchini | publici,recovered_from_additional_info
Commercial,tubazioni industriali,recovered_from_additional_info
Commercial,palombari,recovered_from_additional_info
Commercial,sarta,recovered_from_additional_info
Commercial,avv.,recovered_from_additional_info
Commercial,Geometre,recovered_from_additional_info
Commercial,parrucchiere per signora,recovered_from_additional_info
Commercial,alimentari (dett.),recovered_from_additional_info
Commercial,alimentari (dett.),recovered_from_additional_info
Commercial,latteria,recovered_from_additional_info
Commercial,alimentari (dett.),recovered_from_additional_info
Commercial,specialità veneziane,recovered_from_additional_info
Commercial,navi (demolizione),recovered_from_additional_info
Commercial,combustibili solidi,recovered_from_additional_info
Commercial,materiali radio elettrici,recovered_from_additional_info
Commercial,sarta,recovered_from_additional_info
Commercial,sarta,recovered_from_additional_info
Commercial,piloti,recovered_from_additional_info
Commercial,barbiere,recovered_from_additional_info
Commercial,sarta da uomo,recovered_from_additional_info
Commercial,sarta,recovered_from_additional_info
Commercial,trattatia,recovered_from_additional_info
Commercial,pittore,recovered_from_additional_info
ORGANIZATION,Calzature,recovered_from_additional_info
ORGANIZATION,Avv.,recovered_from_additional_info
ORGANIZATION,Avv.,recovered_from_additional_info
ORGANIZATION,Mestre,recovered_from_additional_info
ORGANIZATION,professore,recovered_from_additional_info
ORGANIZATION,alimentari (dett.),recovered_from_additional_info
ORGANIZATION,panificio,recovered_from_additional_info
ORGANIZATION,bar,recovered_from_additional_info
ORGANIZATION,avvocato,recovered_from_additional_info
ORGANIZATION,avvocato,recovered_from_additional_info
ORGANIZATION,calzature,recovered_from_additional_info
ORGANIZATION,avvocato,recovered_from_additional_info
ORGANIZATION,combustibili liquidi ed affini,recovered_from_additional_info
ORGANIZATION,pittrice,recovered_from_additional_info
ORGANIZATION,medicina generale,recovered_from_additional_info
ORGANIZATION,legnami e pali da costruzioni,recovered_from_additional_info
ORGANIZATION,coltellinaio e arrotino,recovered_from_additional_info
ORGANIZATION,coltellinaio e arrotino,recovered_from_additional_info
ORGANIZATION,sarta,recovered_from_additional_info
ORGANIZATION,DU5E,recovered_from_additional_info
ORGANIZATION,trattoria | P. Marghera Vi Rossanrol,recovered_from_additional_info
ORGANIZATION,medicina generale | Osp. Infettivi,recovered_from_additional_info
ORGANIZATION,Ingegnere,recovered_from_additional_info
ORGANIZATION,ostetrice | Mestre,recovered_from_additional_info
ORGANIZATION,articoli somm.a,recovered_from_additional_info
ORGANIZATION,farmaciaa,recovered_from_additional_info
