category_class,address,lat,lon,n_entries,sample_names
"Textiles, clothing, footwear, haberdashery & perfumery",Merceria S. Salvador 5024,45.436861504347426,12.33679151173581,7,Istituto di Bellezza | ISTITUTO DI BELLEZZA | « La Veneziana » di Ballarin Nino | Istituto di bellezza | Istituto di Bellezza
"Textiles, clothing, footwear, haberdashery & perfumery",S. Marco 5177,45.43745952571061,12.336648541524134,6,Bagiolotto Umberto | Bagiottuto Umberto | Bagliotto Attilio | Bonotto Pierina | Baggetto Attilio
"Textiles, clothing, footwear, haberdashery & perfumery",S. Marco 1218,45.43413759220737,12.337015941654329,6,Polotto Giuseppe | Cioni Piganton Evelina | Gioni Pignaton Evelyna | Cioni Evelina | Cioni Piglato Evelina
"Hospitality, dining & retail shops",Riva dei Sette Martiri,45.4310715,12.352603,33,Pint Gemma | Pinto Lorenzo | Puppini Mario | Pilot Bona | Piovesan Ampelio
"Hospitality, dining & retail shops",fdm. Vetrai 73,45.44215667611218,12.321542717171708,9,Stanghet Noemi | Tasseto Alberto | Toiozzo Giovanni | Toffoli Eugenio | Toffolon Giovanni
"Hospitality, dining & retail shops",Riva degli Schiavoni 4119,45.4336541,12.347001,9,Mazzarini Giuseppe | Maestrello Virginia | Bagagioli Mario | Cigana Emma | Cigana Emma
Food & beverages,S. Marco 4090.,45.436416563394495,12.333374743047658,6,Compagnia Veneziana delle Spezie Ing. Alessandro Baruabo | Società Anonima Birra Padovana Dreher | Soc. An. Birra Pedavena Dreher Venezia | Cominet Commercio Minerali e metalli Soc. in acc.  sempl Ing. Alessandro e Marcello Barnabo e C. | Presabona Società Anonima Mineraria
Food & beverages,Dorsoduro 2787,45.43307088444994,12.326146581495513,5,Bon Pietro | Bon Pietro fu Carlo | Bordin Beniamino | Bortolani Giacomo | Bortoluzzi Ferruccio
Food & beverages,S. Marco 500,45.43601968890377,12.338954705971911,5,Vianello Giovanni Antonio | Vianello Giovanni Antonio | Vianello Giovanni Antonio | Vianello Giovanni Antonio | Vianello Giovanni Antonio
"Construction, carpentry, chemicals, fuel & raw materials"," ""San Marco 181-A""",45.434752494549784,12.33854573986131,9,FIAT | Fiat | Vetroceke | Soc. A. Gestione Autoriemesse | Soc. An. Lubrificanti
"Construction, carpentry, chemicals, fuel & raw materials",S. Polo 1957,45.4375438097882,12.330412090142092,8,Anonima Carboni S. A. | S. A. Carbuoli | Soc. An. Gaslini | Anonima Carboni S. A. | Azienda Generale Italiana Petroli A.G.I.P.
"Construction, carpentry, chemicals, fuel & raw materials",Cannaregio 1521,45.44366878423214,12.326386057441235,6,Iena Mario | Maturi Ettore | Farmindustria di Frome Carlo | Farindustria di Frome Carlo | Farnese Antonio
"Wholesale, agricultural & general commerce trades",S. Tomà 2896,45.43557255980327,12.327174037709655,5,S. A. Ing. Luzzato e Viani | S. A. L'Agreste Vallicultura per Valli in Venezia | Tagliapietra Aurelio e Flli | Tagliapietra Vittorio e Eredi | Soc. An. Ing. Luzzato & Viani
"Wholesale, agricultural & general commerce trades",Campo Manin,45.4353372,12.3344385,5,Pietrobon F.lli | Miana Sernaglia | Soc. An. Drago Jesolo | Ceccón (Ditta) | Fratelli Guadalupi di Carmelo
"Wholesale, agricultural & general commerce trades",S. Marco 3870,45.435239012731024,12.330603297709525,5,S. Giorgio Nova — Soc. an. I. I. | Società Acquisto Gestion: Miglioramento Edilizia | S.A.F.A. Soc. An. | San Giorgio Nova. Soc. a.r.l. | Soc. An. Industriale S.A.
"Transport, shipping & maritime trades","San Marco, 1341",45.43312110019173,12.336789262038083,12,Ditta Carlo Tonolo fu Matteo | Radoniceich fu D. | Radonicich D. D. Lloyds Agent | Celle Serveri G. | Ferroni Francesco
"Transport, shipping & maritime trades",San Marco 2554,45.43317540314104,12.333231375767811,11,L’Italia Fluviale S. A. per la Navigazion Interna | L'Ausiliare Organizzazione Trasporti | A.Aececu Azienda Generale Caricatori | Cooperativa Porta-Bagagli nella Stazione di Venezia | Ausiliaro (l') Internazionale
"Transport, shipping & maritime trades","San Marco, 2474",45.43200104585448,12.332896718722816,10,Meneghini e C. di Meneghini Vincenzo | Neermann Gastone | Neerman Gastone | Meneghini e C. » di Meneghini Vincenzo | Persico Orlando
"Office equipment, stationery, printing, publishing & photography","Rialto, S. Silvestro 1112-1173",45.43687638603417,12.332892649318474,6,Cartiera F. A. Marsoni | Cartiera Marsoni | Cartiera F. A. Marsoni | Cartiera S. A. | Cartiere F. A. Marsoni
"Office equipment, stationery, printing, publishing & photography",S. Marco 365,45.435147876681576,12.339295709467075,6,Fael Cesarina | Feltrin Giovana | Fiorentini cav. Pietro | Fotomodernissima Pignatto | Fael Cesarina
"Office equipment, stationery, printing, publishing & photography",S. Marco 616,45.43573006775794,12.338755415264156,5,Cinema Teatro Rossini | Cinema Tirana | Cinema Excelsior | GESTIONES cINEAA TEATRI - MESTRE | Cinema Giudecca
Institutions & companies,Calle Larga S. Marco 383,45.43540779135305,12.340214840511615,16,Banco San Marco | Candiani dott. Luigi | Piamonte dott. Giambattista | Bisacco Palazzi Ing. Giacomo | Brunetti dott. Faustino
Institutions & companies,S. Polo 524,45.43826628271637,12.335065107878956,16,Dal Palù dr. Giuseppe | D'Aquino rag. Giacomo | Cedolin rag. Giorgio | Fasuile dr. Amedeo | Plastra dr. Carlo
Institutions & companies,S. Marco 4232,45.43518683143428,12.334061639857394,14,Fonderia Alvisopoli S. A. | Pan Soc. An. Immobiliare | Gianguito dot. Antonio | Fabbricati Urbani Terreni Agricoli Industriali FUTAI | Soc. An. AFFER
"Decorative arts, antiques & artisan crafts",Cannareggio 1858,45.44463571664879,12.32954051793371,5,Trevisan dott. Renato | Trevisan dr. Renato | Trevisan Renato | Vitrum Murano Venezia | V.I.S.A.M. Vetrerie Industriali Soffiati Avventurine Muranese
"Decorative arts, antiques & artisan crafts","Polo, 1479",45.437584262012926,12.331460711144237,5,ZAGO F.LLI | ZAGO F.LLI | ZAGO F.LLI | ZAGO F.LLI | Zago F.lli
"Decorative arts, antiques & artisan crafts",Cannaregio 2342,45.443442327244725,12.3311222660588,5,Paleotti Lidia | Paleotti Lidia | Poletto Ant. | Pendini Gino | Pendini Gino
"Legal, financial & administrative professions",Rialto 199,45.43919236791097,12.335370469330044,7,Capitolo dr. Manlio | Carnesecchi' dr. Gianfranco | Fattovich dr. Giovanni | Finocchiero dr. Pietro | La Monega di Giuseppe
"Legal, financial & administrative professions",San Marco 1322,45.43246091771751,12.337157111629724,5,Bassi Girolamo | D'Agnolo Vallino dr. Carlo | Ferrari Ferruccio | Suman Renzo | Venturini Giancarlo
"Legal, financial & administrative professions",S. Marco 1497,45.4334527587634,12.336541399000613,4,De Gobbis e Figli | Favaretto Luigi | Franceschini Giuseppe | Del Poli Anzoletti Maria
