occupation,frequency,canonical_label
Agenzie di trasporto,323,Shipping company
Camicerie da uomo,238,Men's shirt shop
Medicina generale,222,General medicine
Trattorie,181,Trattorias
Vendita e Mobilizzi,159,Sales and mobilization
CIMITERI COMUNALI,139,Municipal cemeteries
Alimentari,137,Grocery store
al Porto di Venezia,119,Port of Venice
Attuari,111,actuaries
pittore,103,Painter
Strti da uomo,101,Men's clothing
Bar,93,Bar
Farmacista,92,Pharmacist
medicina generale,92,General medicine
Latterie,84,Dairy products
trattoria,81,Trattoria
Specialità veneziane,74,Venetian specialties
sarta,72,Seamstress
alimentari (dett.),72,Grocery store (detailed)
Bottigliere,70,Bottler
Generi alimentari,66,Food products
Osterie,64,Taverns
Refrettari,64,Refractory materials
Sarte,63,Seamstresses
Barbieri,60,Barbers
osteria,60,tavern
macelleria,58,butcher
Chincaglierie ed affini,56,hardware store
Macellerie,54,butcher
Caffe,53,café
Commissariato di S. Elena,52,civic institution
AFFITTAVOLI,52,rental agency
Falegnami,51,carpentry
Profumerie,49,perfumery
barbiere,48,barber
Barili,47,barrels
Geometra,46,surveyor
Farmacisti,46,pharmacy
Imprese ed appalti vari,45,construction trade
Tabaccherie,45,tobacco shop
prodotti chimici,44,chemical products
impresa edile,44,construction trade
Presidente,42,civic leader
Articoli casalinghi e oggetti diversi,42,household goods
"Oreficerie, Gioiellerie",42,jewelry store
PROFESSIONISTI E ARTISTI,41,professionals and artists
Panifici,41,bakery
falegname,41,carpenter
Manifattura pellami e calzature,40,leather and footwear manufacturing
Lingerie e maglierie,40,lingerie and knitwear
avv.,40,legal profession
Consigliere,39,legal profession
Frutta e verdura GROSSISTI,39,wholesale produce
Oggetti artistici specialità veneziane ed affini,39,art and crafts
Cantieri Navali,38,shipping company
Tessuti,37,textiles
sarto da uomo,37,tailor
Calzature,36,footwear
Elettricisti e Idraulici,36,electrical and plumbing
Manifesture,36,manufacturing
Scatole,36,boxes
avvocato,36,legal profession
Mercerie,35,haberdashery
Vini (grossisti),35,wholesale wine
Direttore,33,administrative profession
Ragioniere,33,accounting profession
Ing. A. Carretta e Geom. M. Monopoli,33,engineering
panificio,33,bakery
Ufficio postale,32,postal office
Segretario,32,administrative profession
Ingegneri,32,engineering
CARTA,32,paper products
Compra - vendita Immobili,32,real estate
Orologerie,32,watchmaking
calzature,32,footwear
Salumi (negozi),32,delicatessen
farmacista,32,pharmacist
Società immobiliari,31,real estate company
alimentari,31,grocery
ASSOCIAZIONE REGIONALE VENETA PER LA TUTELA DELLE VITTIME DEL FASCISMO,30,civic organization
Legnami e pali da costruzioni,29,construction materials
Olii commestibili ed affini,29,edible oils
Tipografie,29,printing
bottiglieria,29,liquor store
Veterinario,28,veterinary
Giocattoli,28,toys
Noleggio imbarcazioni,28,boat rental
Parrucchieri per signora,28,women's hairdressers
articoli casalinghi,28,household goods
ostetrica,28,midwifery
Membri,26,members
Decoratori e pittori,26,decorators and painters
latteria,26,dairy
Case di Cura,25,nursing homes
Febbri ferrai e meccecini,25,ironworks and mechanics
"Fiori, piante e sementi",25,flowers and seeds
Materiali per costruzioni edilizie,25,Construction Materials
tessuti confezioni filati,25,textiles and yarns
tabaccheria,25,tobacco shop
Commerciale,25,commercial
Rappresentanze varie,24,Various Representations
spedizioni e trasporti,24,Shipping and Transport
Consigliere Municipale,24,Municipal Councilor
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,24,Patriarchal Basilica of St. Mark
Antichità belle arti,23,antiques and fine arts
Carboni Fossili e Ligniti,23,Fossil Fuels
Lavoro,23,Labor
Oggetti usati,23,Second-Hand Goods
Società di assicurazioni,23,Insurance Company
cartoleria,23,Stationery
panificio. SS.,23,Bakery
industria,23,Industry
Elettricità,22,Electricity
COSTRUZIONI EDILI ED AFFINI,22,Building Construction
Trattoria,22,Trattoria
Parroco,22,Parish Priest
FERROVIE DELLO STATO,22,State Railways
Gabinettl dentistici,21,Dental Offices
Abbigliamento,21,Clothing
Ferramenta e colori,21,Hardware and Paints
Fotografie,21,Photography
IMPRESA ARTIGIANA,21,Artisan Business
RISTORANTE,21,Restaurant
specialità veneziane,21,Venetian specialties
pasticceria,21,Pastry Shop
illuminazione pubblica,21,Public Lighting
Annessa alla Comunità Israelitica,20,Jewish community
Pittore,20,Painter
Agenzie marittime,20,Shipping agencies
DISINFESTAZIONI UNIVERSALI,20,Pest control
Drogherie,20,Grocery Stores
Istituti di credito,20,Credit Institutions
Messaggerie,20,Messengers
Prodotti chimici,20,Chemical products
architetto,20,Architect
Società immobiliare,20,Real estate company
Caffè (esercizi),19,Café
Cantiere Navale,19,Shipyard
Elettricità - Idraulica,19,Electricity and plumbing
Liqouri,19,Liquors
Maglierie,19,Knitwear
Recuperi navali,19,Naval recoveries
rappresentante generi alimentari,19,Food representative
Avvocato,19,Lawyer
bar,19,Bar
Assicurazioni,18,Insurance
Giornali,18,Newspapers
Modisterie,18,Millinery
Trasporti marittimi con motanavi e motovelieri,18,Maritime transport
decoratore e pittore,18,decorator and painter
commercialista,18,accountant
profumeria,18,perfumery
caffè (esercizi),18,café
Archivio di Stato,18,state archive
Consiglieri,17,advisors
PENSIONI,17,pensions
Caffè,17,café
oggetti di Cancelleria,17,stationery
STABILIMENTO GRAFICO,17,printing establishment
Perle,17,pearls
Sartorie e confezioni per signora,17,women's tailoring
carbone e legna (dettaglio),17,Coal and wood retailer
perito,17,expert
Membri effettivi,17,active members
Colori e Vernici,16,paints and varnishes
Farmacie,16,pharmacies
macchinari,16,machinery
rappresentante,16,representative
Azienda,16,company
casa editrice,16,publishing house
 filati e affini,16,yarns and related
rappresentanze varie,16,various representations
Ferramenta e metalli,15,hardware and metals
Consiglio di Amministrazione,15,government/civic institution
assicurazioni,15,insurance
Squerì,15,unknown
Tappezzieri,15,upholstery
Vini,15,wine
Osteria,15,tavern
oggetti artistici,15,art objects
carbone e legna,15,coal and wood
Giudice,15,legal profession
Materiale elettrico,14,electrical materials
Società in NOME COLLETTIVO,14,partnership
