n_rows,count
"Fashion, textiles & personal goods retail",2198
"Food, grocery & pharmacy retail",1998
"Industrial, technical & construction trades",1716
"Visual, decorative arts & antiques",1441
"Governance, civic administration & institutional titles",1285
"Maritime, shipping & transport",1013
General commerce & advertising,1006
Hospitality & dining,861
Retail trade & consumer goods,781
Legal & professional titles,407
"Property, banking & insurance businesses",221
Medical professions,203
Religious & civic institutions,162
Education & academic institutions,152
