category_value,identity,n_rows
Nuova Editoriale S. A.,journal / publishing house (ad),157
Cassa di Risparmio di Venezia,bank (ad),67
VALESE LUIGI,foundry (ad),131
Paganotto Elsa,"unidentified (ad, likely garbage)",138
Stabilimento Marghera,port-related establishment (ad),56
Olimpia Film,cinema (ad),162
OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,typewriter/office-machine repair shop (ad),322
OPIFCINA RIPARAZIONI MACCHINE PER SCRIVERE,"typewriter/office-machine repair shop (ad, OCR variant)",46
MACCHINE per scrivere -- Calcolatrici - Duplicatori,typewriter/calculator/duplicator dealer (ad),167
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,typewriter/duplicator/accessories dealer (ad),13
MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,accounting machine/typewriter dealer (ad),19
TOTAL,,1278
