Category,Rows,% of categorized
"Fashion, textiles & personal goods retail",2098,15.5
"Restaurants, cafés & retail shops",1839,13.6
"Governance, civic administration & institutional titles",1379,10.2
Industrial & electrical trades,1335,9.9
Medical professions,1309,9.7
"Maritime, shipping & transport",1266,9.4
"Visual, decorative arts & antiques",1185,8.8
Wholesale & agricultural suppliers,992,7.3
"Construction, carpentry & building materials",782,5.8
Business & financial institutions,670,5.0
Legal & accounting professions,383,2.8
Religious & civic institutions,160,1.2
Education & academic institutions,123,0.9
