Category,Rows,% of categorized
Advertisement-dominated content,1012,18.1
"General commerce, real estate & advertising",810,14.5
Medical professions,657,11.7
Industrial & construction trades,547,9.8
"Visual, decorative & graphic arts",480,8.6
"Government, military & public administration",461,8.2
Religious & civic institutions,392,7.0
Retail trade & consumer goods,274,4.9
"Legal, economic & administrative professions",272,4.9
Governance & administrative titles,270,4.8
"Transport, maritime & communications",182,3.2
Education & academic institutions,177,3.2
"Institutions, press & sport",67,1.2
