Category,Rows,% of categorized
"Textiles, clothing",2485,23.3
"Food, grocery & hospitality trade",2346,22.0
"Real estate, construction & business services",1070,10.0
"Legal, financial & administrative professions ",1020,9.5
"Decorative arts, photography, antiques & artisan crafts",993,9.3
"Transport, shipping & maritime trades",834,7.8
"Chemicals, fuel, construction materials & raw materials",758,7.1
"Office equipment, electrical, mechanical & industrial trades",724,6.8
Institutions/companies,273,2.6
general retail,127,1.2
Religious institutions & clergy,34,0.3
"Culture, entertainment & leisure",19,0.2
