Category,Rows,% of categorized
"Textiles, clothing, footwear, haberdashery & perfumery",1611,16.3
"Hospitality, dining & retail shops",1423,14.4
Food & beverages,1069,10.8
"Construction, carpentry, chemicals, fuel & raw materials",1064,10.7
"Wholesale, agricultural & general commerce trades",857,8.6
"Transport, shipping & maritime trades",812,8.2
"Office equipment, stationery, printing, publishing & photography",644,6.5
Institutions & companies,620,6.3
"Decorative arts, antiques & artisan crafts",602,6.1
"Legal, financial & administrative professions",565,5.7
"Electrical, mechanical, industrial & automotive trades",491,5.0
Religious institutions & clergy,153,1.5
