category_class_k10,"Construction, carpentry, chemicals, fuel & raw materials","Decorative arts, antiques & artisan crafts","Electrical, mechanical, industrial & automotive trades",Food & beverages,"Hospitality, dining & retail shops",Institutions & companies,"Legal, financial & administrative professions","Office equipment, stationery, printing, publishing & photography",Religious institutions & clergy,"Textiles, clothing, footwear, haberdashery & perfumery","Transport, shipping & maritime trades","Wholesale, agricultural & general commerce trades"
"Chemicals, fuel, construction materials & raw materials",71.2,3.5,2.1,13.1,0.1,0.1,1.5,1.0,0.0,3.5,0.3,3.4
"Culture, entertainment & leisure",0.0,0.0,0.0,5.3,0.0,0.0,0.0,94.7,0.0,0.0,0.0,0.0
"Decorative arts, photography, antiques & artisan crafts",19.4,43.4,0.3,5.7,0.5,0.8,2.8,15.3,0.0,3.5,0.7,7.5
"Food, grocery & hospitality trade",0.2,0.0,0.0,27.6,45.3,2.0,1.5,0.2,0.0,0.4,0.0,22.8
Institutions/companies,0.9,0.4,0.4,2.2,17.4,17.9,3.1,5.8,47.3,0.0,4.0,0.4
"Legal, financial & administrative professions ",1.7,1.7,1.4,0.0,0.6,33.4,53.7,2.0,0.0,0.5,4.5,0.5
"Office equipment, electrical, mechanical & industrial trades",14.6,1.6,54.7,3.5,1.9,0.4,0.0,15.8,0.0,2.1,0.6,4.7
"Real estate, construction & business services",26.9,1.1,0.4,2.0,4.1,24.8,2.9,21.7,0.0,0.4,1.7,13.9
Religious institutions & clergy,0.0,0.0,0.0,0.0,0.0,6.1,3.0,0.0,90.9,0.0,0.0,0.0
"Textiles, clothing",1.1,5.3,2.7,9.2,11.8,0.1,0.1,4.6,0.0,62.9,0.0,2.3
"Transport, shipping & maritime trades",0.2,0.0,2.1,3.1,0.1,0.9,0.4,0.0,0.0,0.0,90.7,2.5
general retail,5.1,0.0,7.7,15.4,17.9,2.6,10.3,2.6,0.0,25.6,2.6,10.3
