field,value,identity,n_rows
Profession,Agenzia P. Bortoluzzi,agency name (ad),48
Profession,Lavorazione artistica mosaici in smalto di vetro Veneziano,propagated alongside 'OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE VENEZIA' in Additional Info,168
Profession,Rappresentante di case produttrici di medicinali,propagated alongside 'OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI' in Additional Info,186
Role,"AFFITTI APPARTAMENTI, COMPRA - VENDITA, AMMINISTRAZIONE",real-estate agency service list (ad),119
Category,AGENZIA P. BORTOLUZZI,agency name (ad),49
Category,ZAGO F.LLI,company name (ad),58
Category,Forniture complete MOBILI e ACCESSORI per UFFICIO,"typewriter/office dealer (ad, spelling variant)",75
Category,OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,typewriter/office dealer (ad fragment),75
Category,AFFITTANO APPARTAMENTI,real-estate agency service list (ad),49
Category,"agenzia di viaggi e turismo,Cappellont Aldo",travel agency + name (ad),28
Category,Mestre,bare place name,54
Category,cappelano S. Bingio (Chiesa della Marina).,"one chaplain's title, propagated",105
