occupation_category_k10,Business & financial institutions,"Construction, carpentry & building materials",Education & academic institutions,"Fashion, textiles & personal goods retail","Governance, civic administration & institutional titles",Industrial & electrical trades,Legal & accounting professions,"Maritime, shipping & transport",Medical professions,Religious & civic institutions,"Restaurants, cafés & retail shops","Visual, decorative arts & antiques",Wholesale & agricultural suppliers
Education & academic institutions,17,0,92,0,8,1,21,6,6,0,1,0,0
"Fashion, textiles & personal goods retail",2,13,0,1728,10,134,0,14,51,0,110,62,74
"Food, grocery & pharmacy retail",1,3,0,4,1,12,0,22,233,0,1026,15,677
General commerce & advertising,216,23,8,4,97,31,6,184,364,1,8,54,10
"Governance, civic administration & institutional titles",67,4,4,0,1013,5,54,45,42,35,4,10,2
Hospitality & dining,20,4,2,4,23,5,0,12,112,23,622,6,28
"Industrial, technical & construction trades",9,500,2,61,7,888,0,17,60,0,12,81,79
Legal & professional titles,16,0,0,0,90,1,299,0,1,0,0,0,0
"Maritime, shipping & transport",5,54,0,4,3,14,0,910,18,0,2,1,2
Medical professions,2,0,0,0,10,7,0,0,182,0,2,0,0
"Property, banking & insurance businesses",220,0,0,0,0,0,0,1,0,0,0,0,0
Religious & civic institutions,8,0,0,0,43,0,0,0,0,90,4,11,6
Retail trade & consumer goods,77,90,9,74,37,99,3,34,155,9,39,44,111
"Visual, decorative arts & antiques",0,91,6,214,37,105,0,21,64,0,1,899,3
