n_rows,count
Advertisement-dominated content,1012
"General commerce, real estate & advertising",810
Medical professions,657
Industrial & construction trades,547
"Visual, decorative & graphic arts",480
"Government, military & public administration",461
Religious & civic institutions,392
Retail trade & consumer goods,274
"Legal, economic & administrative professions",272
Governance & administrative titles,270
"Transport, maritime & communications",182
Education & academic institutions,177
"Institutions, press & sport",67
