category,frequency,cluster_id
Camicerie da uomo,238,0
Bottigliere,70,0
Chincaglierie ed affini,56,0
Macellerie,54,0
Profumerie,49,0
Tabaccherie,45,0
"Oreficerie, Gioiellerie",42,0
Manifattura pellami e calzature,40,0
Lingerie e maglierie,40,0
Tessuti,37,0
sarto da uomo,37,0
Scatole,36,0
Mercerie,36,0
Calzature,35,0
Orologerie,32,0
calzature,30,0
Parrucchieri per signora,28,0
bottiglieria,28,0
Giocattoli,28,0
"Fiori, piante e sementi",25,0
tessuti confezioni filati,25,0
latteria,24,0
cartoleria,22,0
Maglierie,19,0
Abbigliamento,18,0
Sartorie e confezioni per signora,17,0
profumeria,17,0
Calzaturifici,14,0
calzaturificio,14,0
lavanderia e stireria,13,0
Biancheria e affini,12,0
Cappellerie,12,0
Confezioni varie,12,0
Librerie,12,0
Sartorie e confezioni per uomo,12,0
Stoffe e Tessuti,12,0
Polliccerie,11,0
parrucchiere per signora,11,0
manifatture,11,0
Macelleria,10,0
Abiti confezionati,10,0
Pellett erie (fabbriche),10,0
tappezziere,10,0
Calze,9,0
sarta da uomo,9,0
giornali (rivendita),9,0
Merletti e ricami,8,0
tessuti,8,0
Articoli Sanitari e Affini,7,0
lingerie e maglierie,7,0
Lavanderie e stirerie,7,0
Cartoleria,7,0
sartoria e confezioni per signora,7,0
confezioni varie,7,0
Conterie e Perle,6,0
Macchine da cucire e accessori,6,0
Tappeti,6,0
Tessili,6,0
falegnameria,6,0
pellicceria,6,0
tessuti filati,6,0
rappresentante tessuti,6,0
Confezioni per Bambini,5,0
Utensili,5,0
Bottiglieria,5,0
giocattoli,5,0
Falegnamerie,4,0
Cartiere,4,0
profumi,4,0
Saccherie ed affini,4,0
Saponi comuni medicinali e profumati,4,0
Tintorie e pulliture a secco,4,0
"Valigerie, pelletterie articoli da viaggio",4,0
Falegnameria,4,0
sartoria,4,0
"mercerie, filati e affini",4,0
Sarto da uomo,4,0
sartoria e confezioni per uomo,3,0
Calzinerci,3,0
Canapa e Lino,3,0
Copertoni,3,0
Filati all'ingrosso,3,0
Pelle tterie ed affini (negozi),3,0
Prodotti antisettifughi,3,0
Profumi e affini,3,0
Riparazioni calzature e cappelli,3,0
Tessiture seriche per l'arredamento,3,0
Sartoria e confezioni per signora,3,0
chincaglierie,3,0
biancheria e affini,3,0
Profumeria,3,0
Calzaturificio,3,0
Cinghie di Cuoio,2,0
Confezioni per Uomo,2,0
Lucido de scarpe (fabbriche),2,0
Manifatture e tessuti,2,0
Pennelli e spazzole,2,0
Sacchetti di carta,2,0
Sartoria civile e militare,2,0
Segherie,2,0
Soffierie,2,0
Pellicceria,2,0
Sartoria e confezioni per uomo,2,0
merceria,2,0
cereria e prodotti affini,2,0
gioielleria,2,0
rappresentante calzature,2,0
"oreficeria, gioielleria",2,0
rappresentante tessuti confezioni,2,0
pelletterie,2,0
rappresentante profumi,2,0
Manifatture,2,0
sartoria da uomo,2,0
sartoria uomo,2,0
confezioni per bambini,2,0
merletti e ricami,2,0
Riparazioni calzature e capelli,2,0
maglieria (negozio),2,0
giornali rivendita,2,0
abbigliamento,2,0
"Mercerie, Filati e Affini",2,0
"Fiori, Piante e Sementi",2,0
bottigliera,2,0
Confezioni per Signora,2,0
Abbigliamento per bambini e ragazzi,1,0
Magazzini della Gomma,1,0
Biancheria per Signora,1,0
Calzoleria,1,0
Camicie da uomo,1,0
Carte e Stracci per Cartiere,1,0
CANCELLERIA CARTA E CARTONI,1,0
Copisterie,1,0
Cotoni e cascami,1,0
"Stabilimento Serico Velluti, Soprarizzi, Broccati, Damaschi per Arredamento e chiesa. Passamanterie.",1,0
Essiccatoi,1,0
Commercio Filande per la trattatura della seta,1,0
Lanerìe e seterie,1,0
"Ricami artisti a mano, Laboratorio proprio, Negozio di vendita",1,0
FABBRICA,1,0
Modelli abiti signora,1,0
Confezioni Pelliccerie,1,0
Lavorazione profumerie,1,0
Reti e articoli da pesca,1,0
"Biancheria fine per signora finita e su commissioni, Corredi, Ricami a mano, di fronte Hotel Bonvecchiati",1,0
Deposito stoffe,1,0
Targhe,1,0
Utensili e utensileria in genere,1,0
maglieria,1,0
Pellicce e Confezioni per Signora,1,0
carpenterie,1,0
cotoleria,1,0
linge rie e maglierie,1,0
Merceria,1,0
maglierie negozio,1,0
lingerie,1,0
parrucchiere per signora e berbiere,1,0
carta e stracci per cartiere,1,0
pelle (lavor.e commercio),1,0
capelliera,1,0
confezioni Varie,1,0
abiti confezioni,1,0
calzificio,1,0
macellaeria,1,0
calzaturaio,1,0
articoli da bagno,1,0
Uff. di Magazzino,1,0
Abbigliamento per Bambini e Ragazzi,1,0
Sarto Da Uomo,1,0
Parrucchiere per Signora,1,0
coltelleria e arrotini,1,0
drogherie,1,0
utensili,1,0
macchine da cucire e accessori,1,0
saponi coloniali modici il *-promata,1,0
calzaturifico,1,0
pizzi e ricami,1,0
"« Biasetto », mercerie, fliati e affini",1,0
mercegie pellicceria,1,0
profumeria e parrucchiere per signora,1,0
"orificeria, gioielleria",1,0
carrozzeria,1,0
"Mercerie, filati e affini",1,0
Lavanderia e Stireria,1,0
manifattura,1,0
Confezioni per signora,1,0
Lavori in Falegnameria,1,0
perle (lavorie i commercio),1,0
"Alla Città di Scbio, Tessuti",1,0
Abbigliamento uomo,1,0
rappresentanze tessuti,1,0
pelletterie (negozio),1,0
lucido da scarpe,1,0
Tipografia; Cartoleria,1,0
Confezioni,1,0
Mobili (negozio); Cartoleria,1,0
Cappelleria,1,0
Lingerie e maglie-ig.,1,0
Mod.; Pellicerie,1,0
coltelli e arrotini,1,0
tappezziere c.,1,0
lanerie e seterie,1,0
maniffatura e,1,0
tappeti,1,0
faiegrieria,1,0
Pelletterie,1,0
pellicceria tessuti,1,0
lavaderia e stierira,1,0
chincaglieria,1,0
"articoli casalinghi, cartoleria",1,0
manifature,1,0
"merceire, filati e affini",1,0
lingería e maglierie mercerie filati,1,0
"confezioni per uomo, impermanefili lingerie e maglierie",1,0
mercerie filati,1,0
cererie e prodotti affini,1,0
"Confezioni Pellicceria, Deposito Pelli",1,0
sartola confezioni per uomo,1,0
"Rappresentante tessuti, confezioni, liniti",1,0
"Specialità venoziane, pelletterie",1,0
"Legnime, mercerie, filat e affini",1,0
fatto da uomo,1,0
calzaturficio,1,0
"Magasin de Paris, Sartoria, Confezioni e Lingerie di Lusso",1,0
"fiori, piante e sementi",1,0
