canonical_label,frequency,cluster_id
Venetian specialties,98,0
dairies,84,0
food products,66,0
chemical products,65,0
perfumery,51,0
Various representations,43,0
Boxes,36,0
Notions,36,0
Dairy,36,0
Edible oils,29,0
Toys,28,0
Flowers and plants,25,0
Pearls,22,0
liquors,20,0
messengers,20,0
Food representative,18,0
Perfumery,17,0
dried fruit,16,0
fried foods,16,0
coffee roasting,16,0
Coffee,16,0
flowers,15,0
ice,15,0
citrus fruits,15,0
wines,15,0
mineral oils,13,0
inns,13,0
raincoats,12,0
Oil,12,0
sweets,12,0
Garbage,11,0
lubricants,10,0
Liquid fuels,9,0
umbrellas,9,0
Chemical representative,8,0
fruit,8,0
drugs,8,0
Plant fibers,7,0
Perfumes,7,0
musical instruments,7,0
edible oils,7,0
Vegetables,7,0
canned fish,7,0
fuel oils,6,0
food representative,6,0
ice houses,6,0
Rotisserie,6,0
Candles,5,0
Eggs,5,0
Wine,5,0
Minerals,5,0
Disinfection,5,0
toys,5,0
Cold cuts,5,0
Mattresses,5,0
fruits and vegetables,5,0
Natural gas,5,0
Terraces,4,0
Cork,4,0
Grains,4,0
Cosmetics,4,0
liquor,4,0
Soaps,4,0
Oilseeds,4,0
Liquors,4,0
Sugar,4,0
Syrups,4,0
Musical instruments,4,0
fuels and oils,4,0
fuels,4,0
Carbonated water,4,0
tar,4,0
Poultry,4,0
Fertilizers,4,0
mineral water,3,0
soft drinks,3,0
arms and ammunition,3,0
baking flavors,3,0
cereals,3,0
flags,3,0
fishing,3,0
detergents,3,0
Seafood,3,0
threshing,3,0
Tires,3,0
Oils,3,0
rotisserie,3,0
scales,3,0
novelties,3,0
Fish and seafood,3,0
beer,2,0
perfume representative,2,0
Vinegar,2,0
Jams,2,0
Fruit and vegetable drying,2,0
Canned fruits and vegetables,2,0
Sulfur,2,0
Zincography,2,0
Coffee roasting,2,0
Coatings,2,0
wineries,2,0
coffee substitutes,2,0
Gas,2,0
fried food,2,0
eggs,2,0
dairy products,2,0
dairy,2,0
cutlery,2,0
caviar,2,0
pianos,2,0
Bottiglie,2,0
Brushes and combs,2,0
bitumen,2,0
meats,2,0
Salumi,2,0
Fiori e Piante,2,0
Sails and flags,2,0
Pesticides,2,0
Petroleum products,2,0
Fertilizers and fungicides,2,0
liquid fuels,2,0
Seeds,2,0
fruit and vegetable drying,1,0
watches,1,0
preserved fish and meat,1,0
solid and liquid fuels,1,0
mill,1,0
milk,1,0
minerals,1,0
fishing and public domain,1,0
refrigerators,1,0
flowers and plants,1,0
wine and oil,1,0
salami,1,0
hides,1,0
oils,1,0
olive oil equipment,1,0
intestines,1,0
inks,1,0
insecticides,1,0
herbal medicine,1,0
neon signs,1,0
spa,1,0
pesticides,1,0
pearls,1,0
petroleum,1,0
spirits,1,0
petroleum products,1,0
Venetian cuisine,1,0
Gravel,1,0
Gasoline,1,0
Horse Meat,1,0
Horse meat,1,0
Fish and Shellfish,1,0
Food assistance,1,0
Fossil fuels,1,0
Fruits and Vegetables,1,0
Malt,1,0
Medicinal herbs,1,0
Men's Sardine,1,0
Insecticide,1,0
Knives and Sharpeners,1,0
Legumes,1,0
Light Signals,1,0
Chemical products,1,0
Denatured Alcohol,1,0
Divers,1,0
Coffee Management,1,0
Coffee Services,1,0
Cold Cuts,1,0
Coloring products,1,0
Cooked meats and Offal,1,0
Cutlery,1,0
Wine and spirits,1,0
Yeast,1,0
Toxic Gases,1,0
cork,1,0
detergents and soaps,1,0
coffee,1,0
cheese and butter,1,0
Pianos,1,0
Preserved Foods,1,0
Preserved meats,1,0
Perfume,1,0
Mills and Pasta,1,0
Mineral Water,1,0
Musical Instruments,1,0
Olives,1,0
Panels,1,0
Paraffin,1,0
Pastry and Liquor,1,0
Radio,1,0
Thermometers,1,0
Signs,1,0
Smoking Articles,1,0
Soap,1,0
Soft Drinks,1,0
Theaters,1,0
Recoveries,1,0
Rhodium,1,0
Semiotics,1,0
shipping company,364,1
shipyard,75,1
Shipping and transport,29,1
Travel agency,28,1
Boat rental,28,1
shipping agency,25,1
Shipping company,20,1
naval recovery,19,1
Maritime transport,18,1
Transport services,17,1
boat rental,11,1
Shipping,10,1
maritime structures,9,1
Transport,8,1
Transportation services,6,1
State railways,6,1
Shipping agency,6,1
transportation,6,1
Funeral services,5,1
Porters,5,1
Maritime brokers,5,1
Towing services,4,1
Shipping Agency,4,1
River transport,3,1
River navigation,3,1
travel agency,3,1
Maritime recovery,3,1
tugboats,2,1
Lagoon navigation,2,1
Luggage services,2,1
transportation service,2,1
Trasporti,2,1
Transport agency,2,1
automotive transport,2,1
Boat Rental,2,1
rentals,2,1
shipowners,2,1
shipbuilding and repair,2,1
maritime enterprises,2,1
Port works,2,1
Shipping Company,2,1
port construction,1,1
shipbuilding,1,1
funeral services,1,1
porters,1,1
postal transport,1,1
shipping agency management,1,1
motorcycle rental,1,1
moving agency,1,1
transport company,1,1
transport and shipping,1,1
trade/brokerage,1,1
transportation and salvage,1,1
transportation trade,1,1
transportation station,1,1
horse transport,1,1
shipping and transport,1,1
transportation hub,1,1
transportation and shipping,1,1
industrial port,1,1
services,1,1
naval towing,1,1
storage facility,1,1
maritime broker,1,1
maritime supplies,1,1
maritime recovery,1,1
luggage service,1,1
Hotel Purchase,1,1
Funeral Services,1,1
Maritime Authority,1,1
Maritime Supplies,1,1
Maritime Transport,1,1
Maritime supplier,1,1
Industrial Transport Services,1,1
International Transport Cooperative,1,1
Car Rental,1,1
Car Rental Company,1,1
Car Rental and Towing,1,1
Car Rentals,1,1
Advertising Services,1,1
Air Transport,1,1
Apartment Rentals,1,1
Train Station,1,1
Train station,1,1
Transport Agency,1,1
Transport and Tourism,1,1
Transportation,1,1
Transportation organization,1,1
Travel Agency,1,1
Travel Goods,1,1
boat supplies,1,1
car rental,1,1
Port Services,1,1
Postal Transport,1,1
Public porters,1,1
Moving Agency,1,1
Shipyards,1,1
Sports Facility Services,1,1
Shipyard,1,1
Ship painting,1,1
Railway Services,1,1
Railway records,1,1
Sailing Federation,1,1
Service,1,1
Ship demolition,1,1
Electricians and plumbers,36,2
Electricity,22,2
radio equipment,21,2
electrical materials,19,2
electrical and plumbing,19,2
Machinery,17,2
Engineering,13,2
blacksmith and mechanic,13,2
Industrial piping,12,2
Motorcycles,9,2
heating and plumbing,8,2
electrician and plumber,8,2
Utilities,7,2
technical articles,7,2
engineering,6,2
Tools,6,2
mechanical workshop,6,2
automatic electrical equipment,6,2
calculating machines,6,2
electromechanical workshops,6,2
Radio equipment,5,2
radio repair,5,2
Refrigeration,4,2
Accounting machines,4,2
Mechanical workshops,4,2
Electrical articles,3,2
machinery representative,3,2
Radio equipment sales,3,2
utilities,3,2
electrician,3,2
Civil Engineering,3,2
Marine engines,3,2
heating systems,2,2
Workshop,2,2
Machine tools,2,2
civil engineering,2,2
electrical goods,2,2
electrical engineering,2,2
Agricultural machinery,2,2
Auto and cycle representatives,2,2
Boat and engine repairs,2,2
waterworks,2,2
Batteries,2,2
Mechanical Workshop,2,2
Electrical engineering,2,2
machinery,2,2
Piano tuners,2,2
Electrical systems,2,2
Electrodes,2,2
telecommunications,2,2
telephone installations,2,2
electromechanical workshop,2,2
Plumbing and sanitation,2,2
Fire extinguishers,2,2
Air conditioning,2,2
bicycles and motorcycles,1,2
mechanical construction,1,2
naval engineering,1,2
plumbing and electrical,1,2
municipal works,1,2
electronics,1,2
electronics repair,1,2
electroplating,1,2
engineering profession,1,2
refrigeration systems,1,2
lighting equipment,1,2
industrial machinery,1,2
industrial piping,1,2
technical supplies representatives,1,2
industrial services,1,2
maintenance,1,2
machinist,1,2
gas generators,1,2
piano tuners,1,2
electromechanical,1,2
Heating,1,2
Heating Systems,1,2
Heating services,1,2
Home appliances,1,2
Electrogalvanics,1,2
Electronics,1,2
Electroplating Services,1,2
Engineering services,1,2
Mechanical Engineering,1,2
Locksmith Services,1,2
Machinery Representative,1,2
Machinery Tools,1,2
Machinery representative,1,2
Manufacturing Workshop,1,2
Mechanical Supplies,1,2
Mechanical workshop,1,2
Industrial Works,1,2
Industrial services,1,2
Electromechanical Workshop,1,2
Electrochemistry,1,2
electricity,1,2
Battery Charging,1,2
Bicycle and Motorcycle,1,2
Bicycles and motorcycles,1,2
Civil engineering,1,2
Electroautomatic systems,1,2
Air Compressors,1,2
Auto Accessories,1,2
Auto repair,1,2
Automatic Telephone Systems,1,2
Automobiles,1,2
Electric Water Heaters,1,2
Diesel Engines,1,2
Electric Drills,1,2
Electric and hydraulic company,1,2
Electrical Construction,1,2
Electrical Engineering,1,2
Electrical Equipment,1,2
Electrical Materials,1,2
Electrical Services,1,2
Electrical Shop,1,2
Electrical Supplier,1,2
Electrical and gas services,1,2
Electrical and plumbing,1,2
Electrical repairs,1,2
Electrician,1,2
Control panels,1,2
accounting machines,1,2
Vacuum Cleaners,1,2
auto body repair,1,2
auto repair,1,2
automation,1,2
automotive repair,1,2
electrical and plumbing installations,1,2
electrical company,1,2
electrical construction,1,2
electrical installations,1,2
electrician/plumber,1,2
electricians and plumbers,1,2
Tools and Hardware,1,2
Plumbing and heating,1,2
Precision Mechanics,1,2
Motor Wrapping,1,2
Motorcycle Workshop,1,2
Motors,1,2
Musical Instrument,1,2
Radio broadcasting,1,2
Radio repairs,1,2
Technical Articles,1,2
Technical Consulting,1,2
Technical repairs,1,2
Telecommunications,1,2
Telephones,1,2
Shipyard and Mechanical Workshops,1,2
Radio technician,1,2
Railway Maintenance,1,2
HVAC services,1,2
construction trade,127,3
carpentry,68,3
Construction materials,58,3
Carpenter,48,3
Coal and wood,38,3
Construction trade,32,3
Iron and metal works,25,3
Coal and lignite,23,3
coal and wood,23,3
hardware and paint,21,3
Carpentry,15,3
hardware and metals,15,3
Furniture,14,3
construction materials,14,3
cutlery and sharpening,13,3
Used furniture,11,3
Lime and brickworks,10,3
Hardware and paints,10,3
Solid fuels,10,3
coal,9,3
tinsmiths,8,3
used iron and metals,8,3
construction companies,7,3
coal and wood retailer,7,3
mechanical foundries,6,3
refractory materials,6,3
Construction Materials,5,3
Waterproofing,4,3
construction contracts,4,3
Coal handling,4,3
Hardware and metals,4,3
blacksmith,4,3
furniture,4,3
carpenter,4,3
used furniture,4,3
Scrap metals,4,3
construction company,4,3
Raw and processed metals,3,3
Refractory materials,3,3
metalworkers,3,3
metal industry,3,3
Wooden ships,3,3
Sheets (metal),3,3
Construction Trade,3,3
Cast iron,3,3
Furniture manufacturing,3,3
Materials,3,3
Iron furniture,2,3
Wood for cellulose,2,3
Coal and Firewood,2,3
timber and construction poles,2,3
Steel,2,3
Concrete ships,2,3
Construction Company,2,3
Luxury and common furniture,2,3
Coal and Wood,2,3
Thermal and acoustic insulation,2,3
coal wood,2,3
coal and wood (retail),2,3
foundry,2,3
flooring,2,3
Agricultural materials,2,3
wooden packaging,2,3
Aluminum Industry,2,3
cutler and sharpener,2,3
cement,2,3
Building Materials,2,3
calcium carbide,2,3
building materials,2,3
furniture manufacturing,2,3
plumber and tinsmith,2,3
Coverings and coatings,2,3
Metal workshops,2,3
metalworker,2,3
Plywood,2,3
Mining companies,2,3
Construction and timber trade,2,3
masonry,2,3
Sawmills,2,3
furniture storage,1,3
metal foundry,1,3
welding materials,1,3
mechanical foundry,1,3
woodwork and trade,1,3
wood products,1,3
wood processing,1,3
wood for cellulose,1,3
mining research,1,3
fabric representatives,1,3
woodworking factory,1,3
railway construction,1,3
metal goods,1,3
flooring and wall coverings,1,3
flooring and coverings,1,3
metalworking shop,1,3
lime and brickworks,1,3
stucco,1,3
iron and metals,1,3
timber and poles,1,3
solid fuels,1,3
used metals,1,3
steel,1,3
lumber,1,3
Gravel Factory,1,3
Firewood and Charcoal,1,3
Firewood and coal,1,3
Flooring and Coatings,1,3
Frame,1,3
Furnishings,1,3
Furniture Manufacturer,1,3
Marble processing,1,3
Mechanical Foundry,1,3
Metallurgical Industry,1,3
Metalworker,1,3
Metalworking,1,3
Lime and Bricks,1,3
Blacksmith and Mechanic,1,3
Brick Industry,1,3
Brick and Tile,1,3
Brickworks,1,3
Building Construction,1,3
Cabinet makers,1,3
Cement Pipes,1,3
Chemicals and Materials,1,3
Civil and Industrial Construction,1,3
Aluminum,1,3
Coal and Firewood Trade,1,3
Coal and Wood Wholesale,1,3
Coal and wood wholesale,1,3
Coal or Firewood,1,3
Coal representative,1,3
Concrete Products,1,3
Construction Supplies,1,3
Construction Warehouse,1,3
Construction and contracts,1,3
Construction contractor,1,3
Mill,1,3
Wooden Packaging,1,3
Wrought Iron,1,3
aluminum,1,3
Milling,1,3
construction secretary,1,3
drying facilities,1,3
coal and timber,1,3
carpenter and builder,1,3
Timber and Packaging,1,3
Timber,1,3
Plastic Materials,1,3
Processed Metals,1,3
Mining and agriculture,1,3
Mining research,1,3
Nickel Plating,1,3
Paints and Coatings,1,3
Steel Materials,1,3
Steel Pipes,1,3
Store Furnishings,1,3
Technical Materials,1,3
Shipbuilding Industry,1,3
Railway Materials,1,3
Resin Materials,1,3
Road Paving,1,3
Scrap metal,1,3
wrought iron,1,3
Painter,59,4
artistic objects,40,4
Watchmaking,32,4
Decorators and painters,28,4
Antiques and fine arts,23,4
Decorator and painter,18,4
Paints and colors,16,4
art objects,15,4
art reproductions,14,4
Venetian specialists,13,4
Jewelry,13,4
Glass,12,4
Marble,11,4
Glassware,11,4
art teacher,10,4
Artistic glass,10,4
watchmaking,9,4
glass,9,4
jewelry,8,4
Ceramics,8,4
artistic furniture,7,4
engravers and chiselers,6,4
beads and pearls,6,4
antiques,5,4
antiques and fine arts,5,4
Mosaics,5,4
glassworks,5,4
Silverware,5,4
Art objects,5,4
paint and varnish,3,4
silver plating,3,4
marble,3,4
Painting services,3,4
Painter decorator,3,4
Glass flowers,3,4
candle making,3,4
Artificial stone,3,4
Artificial flowers,3,4
Stained glass,3,4
Enamels,3,4
paints and varnishes,3,4
sculptor,3,4
Glassworks,3,4
Decorators,3,4
Venetian mirrors,2,4
Watercolors and photography,2,4
Window frames,2,4
Lead objects,2,4
Underwater paints,2,4
ceramics and porcelain,2,4
Artistic gift items,2,4
