profession,frequency,cluster_id
parroco S. Maria del Rosario (Gesuitati),167,0
Commissariato di S. Elena,52,0
Giovanni e Paolo,37,0
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,24,0
Torcello,7,0
" S. Giovanni Laterano, , ",2,0
Biblioteca Marciana,1,0
 Santa Croce (IV),1,0
Rio del Pontelungo,1,0
Riva del Carbon,1,0
S. Angelo,1,0
Via Torre Belfredo,1,0
 Silvestro,1,0
"Asilo e Morioni n. S. Francesco della Vigna, numero 2951",1,0
" anche per Giudecca, , ",1,0
" anche per S. Polo, , ",1,0
Osp. Marino,1,0
"Carpenedo, Mestre",1,0
 Città Giardino,1,0
Divisione S. Lucia,1,0
 Pietto in Volta,1,0
S. Marziale,1,0
 Viale Stazione presso Autostimesa Standa,1,0
Succ: Fratelli Scarpa,1,0
Colonia Alpina S. Marco,1,0
 al Pingrosso,1,0
S. Filippo e Giacomo,1,0
 Parigi,1,0
S. Maria del Carmelo,1,0
SS. Pietro e Caterina,1,0
Rialto 1364,1,0
Via Velarino,1,0
Santa Maria Formosa 4778,1,0
Punta Sabbioni,1,0
piazza 22 Marzo,1,0
S. Trovaso. Palazzo Giustiniani,1,0
S. Marco,1,0
"Lido, Via Malamocco 38",1,0
Palazzo Bonambo,1,0
Viale S. M. Elisabetta,1,0
Rialto 198,1,0
Commissariato S. Polo e Santi Croce,1,0
ved. di Zanco Attilio fu Sebastiano,1,0
Galleria gG. Franchetti alla Ca D’Oro,1,0
Castello (II),1,0
" Ponte delle Maravegie,  Sezione di Lido,  Via Malamocco, , ",1,0
" Rio Terra S. Giuseppe di Castello, , ",1,0
Domenicani,1,0
gestione Magnarin Giuseppe,1,0
Ponte della Canonica,1,0
"Pres, Arciconfratermita di San Cristoforo e Compagnia della Misericordia",1,0
"Marghera, Via Fratelli Bandiere",1,0
Commissariato di S. Marco,1,0
Commissariato di S. Polo e S. Croce,1,0
San Lio,1,0
Ispettore Capo,5,1
Ispett. Capo,3,1
Comm. Capo,2,1
Ragionieri capi sezione,2,1
Capitano di P.S. in S.P.E.,2,1
" Capo Ufficio, ",1,1
Ragioniere Capo,1,1
Vice rag. capo,1,1
Capo uff. Tecnico,1,1
Capo uff. Agrario,1,1
Cancellista capo,1,1
Capo Stazione l. A. Agg.,1,1
Capo Divisione prima,1,1
capitano,1,1
Segret. Capo Sez. Amministrativa,1,1
Capitano,1,1
Capo Uff.,1,1
Capo uff. Amministr.,1,1
Ispet. Capo Amm. Imposte Consumo del Comune,1,1
cappelleria,1,1
Capo Tecnico,1,1
Cap.,1,1
Capo Stazione,1,1
S. Capu di Stato Magg.,1,1
Capo Uff. Stampa e Propag.,1,1
Cav. Uff.,1,1
Capo Divisione,1,1
Cappellano,1,1
" Procuratore Capo, ",1,1
ag. capo Stazione Marittima,1,1
Comandante del Porto Capitano uffi Porto,1,1
Capo di Gruppo o Categoria,1,1
vice direttore,13,2
Comitato esecutivo,8,2
Consiglio Direttivo,8,2
Direttore,6,2
Condirettore,2,2
Vice Direttore,2,2
Direttore Regionale,1,2
Segretario Regionale,1,2
Direttore onor.,1,2
Segretario Direttore generale,1,2
Vice Segret. Direttore Generale,1,2
Vice tesoriere,1,2
"Direttore amministrativo, ",1,2
"Direttore sanitario,",1,2
Segretario Tesoriere,1,2
condirettore,1,2
Segretario (gruppo viaggiatori),1,2
Comm. Agg. dirigente,1,2
Direttore Consorzio Agrario Cooperativo,1,2
Vice comm. Agg. dirigente Commissariato di,1,2
Vice Direttore Banca di Roma,1,2
Direttore Gener.,1,2
Director,1,2
Segretario della (FIDAL),1,2
Direzione Lotto,1,2
 Direzione S. Lucis,1,2
Diret. agt.,1,2
Vice Direttore Manifattura Tabacchi,1,2
V. Direttore del A. C.N.I.L.,1,2
Direttore aggiunto Banca di Napoli,1,2
Dirigente di aziende,1,2
"Direttto: Prof. dr. ing.,",1,2
"Primo Ragioniere con funzioni di Direttore Amministrativo, ",1,2
Direttore dell’Osservatorio,1,2
 Direttore,1,2
Mdico-Direttore,1,2
Presidente del Casinò di Commercio,1,2
"Direttore, ",1,2
Personale degli Uffici - Segreteria della Sezione di Economia e Commercio,4,3
"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",4,3
Economo,3,3
Geografia economica,3,3
Economia politica,3,3
CASINO DI COMMERCIO,3,3
commercialista,2,3
Politica economica e finanziaria,2,3
importazioni ed esportazioni varie,1,3
Economo Provinciale,1,3
Ass. Commercianti,1,3
commercio,1,3
 importazioni ed esportazioni varie,1,3
Uff. Prov. Statistica Economica Agricola,1,3
economo,1,3
Economato,1,3
Storia economica,1,3
Tecnica industriale e commerciale,1,3
Economie e politica agraria,1,3
Tecnica del commercio internazionale,1,3
Tecnica bancaria e professionale,1,3
Merceologia,1,3
Statistica economica,1,3
Storia economica (incar.),1,3
Merceologia (id.),1,3
Economia politica (id.),1,3
Storia delle dottrine economiche,1,3
Tecnica commerciale e bancaria,1,3
"Ragioneria generale applicata, Economia aziendale",1,3
Laboratorio di Merceologia e Museo merceologico,1,3
Laboratorio di Geografia economica,1,3
Laboratorio di Economia politica — Francesco Ferrera,1,3
Laboratorio di Politica economica e finanziari,1,3
Segretario-Economo,1,3
Esportazioni,1,3
ISTITUTO NAZIONALE PER IL COMMERCIO ESTERO,1,3
segretario Istituto Univers. di Economia e Commercio,1,3
Costruzioni edili,9,4
scultore,8,4
"di Elementi di architettura e rilievo dei monumenti, ",2,4
Scultore,1,4
architetto,1,4
"di Scienza delle costruzioni, ",1,4
"per Tecnologia dei materiali e tecnica delle costruzioni, ",1,4
"per Caratteri stilistici e costruttivi dei monumenti, ",1,4
"per Storia dell'arte e storia e stili dell'arch., ",1,4
"per Architettura degli interni, arredamento e decorazione, ",1,4
"per Applicazioni di geometria descrittiva, Elementi di composizione, ",1,4
"per Igiene edilizia, ",1,4
"per Composizione architettonica, ",1,4
"per Restauro dei monumenti, ",1,4
"per Plastica ornamentale, ",1,4
"per Decorazione, ",1,4
"per Geometria descrittiva ed elementi di protettiva, ",1,4
"per Elementi costruttivi, ",1,4
"per Carattei; distributivi degli edifici, Urbanistica, ",1,4
"per Disegno dal vero, ",1,4
"di Composizione architettonica, ",1,4
di Scienza delle costruzioni,1,4
Scultura,1,4
materiali da costruzione,1,4
Architettura,1,4
Architettura disegno geometrico e prospettiva,1,4
Ingegneri,32,5
Geometra,22,5
Ragioniere,22,5
Figura disegnata,4,5
cavaliere,2,5
I. Ragioniere,2,5
esperto elettrotecnico,2,5
Ornato disegnato,2,5
Figura e ornato modellato,2,5
Lavoratore,1,5
Perito industriale,1,5
ragioniere,1,5
di Indri Giovanni,1,5
industirale,1,5
Piedi,1,5
Corpo del Genio Civile,1,5
Insegnante,1,5
Incisioni,1,5
Ingegn. Primo n° 7,1,5
Orologeria,1,5
 Incisioni,1,5
gerogi alì mentari (dett.),1,5
Orologiaio,1,5
Fotografo,1,5
Sarto,1,5
Ingegnero,1,5
del Genio Civile,1,5
Geometra principale del Genio Civile,1,5
maestro,1,5
ingegnere,1,5
"per Matere i radiche, ",1,5
"Cartotecnica, Tipografa",1,5
photoengraving,1,5
aggiusta maturittima rimorchiatore,1,5
esperto scienze guerriere,1,5
Tecniche dell'incisione,1,5
Ornato modellato,1,5
CIMITERI COMUNALI,139,6
Concessionario esclusivo: Rag. Cleto Rossini,124,6
AFFITTAVOLI,54,6
Agenzia P. Bortoluzzi,48,6
PARROCCHIE E SUCCURSALI,29,6
Agenzia Nazionale Stampa Associata,18,6
numero. 920,17,6
OPERA NAZIONALE PER LA PROTEZIONE E ASSISTENZA DEGLI INVALIDI DI GUERRA,16,6
Consolati,13,6
IL MATTINO DEL POPOLO,11,6
Vanoni Ezio,10,6
avv.,8,6
CONSORZIO DI BONIFICA DESE SUPERIORE,7,6
Category: Provvianza e Credito,4,6
Ospedale Civile,3,6
Supplente,3,6
QUERINI STAMPALIA,2,6
Osp. Civile,2,6
Soc. AGESPIDE,2,6
Soc. in N. Coll. Filippo Campesan & F.llì,2,6
", MACELLO COMUNALE",2,6
presso ditta 'Jessurum',1,6
"Assistenza infermi a domicilio,  diurna e notturna.",1,6
presso Lega Reg.,1,6
IspetL Sanità,1,6
dirett. Cro-nici,1,6
Osp. Civ.,1,6
loc. Gaggio,1,6
Riceve dalle ore 15 alle ore 18,1,6
Surrogati,1,6
"Uff. Supelivo - Addetto, Legione Ferr. della Guardia di Finanza",1,6
"Di vetterti Aumn, Istibuto Prov. degli Esposanti",1,6
Ass. Naz. Combattenti,1,6
Forossitti,1,6
P.le Stazione,1,6
gestione SPES,1,6
 Noleggi,1,6
Via F.lli Bandierine,1,6
Via Galuppi,1,6
Via Spalti,1,6
Comandante Comando Gruppo Agenti P. Sicurezza,1,6
Uff. pagat. Legione Territ. Guardia di Finanza,1,6
ved. Bianchi,1,6
 della Prev. Sociale,1,6
pres Lega R:9,1,6
Banca Popolare di Novara,1,6
Addetto Sviarda Naobile,1,6
ed L. Merline e C.,1,6
Ferrovie de lo Stato,1,6
Cimiteri Comunali,1,6
Gazzera Alta 158,1,6
Cannareguo 1984-85.,1,6
Ass. dei Commercianti,1,6
Dirett. Macello Comunale,1,6
Sindaco Assist. Naz. Combattenti,1,6
Altri Stazione,1,6
succ. di Gaio Ernengildo,1,6
Soc. per Az. Rossi Tranquillo,1,6
esplorug pozzi neri,1,6
 Invest. Legione Territ. Guardia di Finanza,1,6
Ispett. Sanità,1,6
Ufficci Marshe,1,6
 Camera ricorso Legione Territ. Guardia di Finanza,1,6
Ispett. Reg.,1,6
Ass. Naz . Reduci,1,6
 Uff. Regionale di Coordinamento,1,6
pozzî niedai,1,6
"Uff. Stazione di Cura,  Soggiorno,  Turismo",1,6
morale e sacra pastorale,1,6
 Traslochi,1,6
Dursto Militare,1,6
Succ. a G. B. Trapolino,1,6
gestione tCSAn,1,6
Maggiore di P.S. in S.P.E.,1,6
Malattie Veneree e della Pelle,1,6
Medicina generale,216,7
Farmacista,90,7
Farmacisti,46,7
Veterinario,27,7
Gabinettl dentistici,21,7
medicina generale,14,7
ostetrica,7,7
farmacista,5,7
dottore,3,7
dr.,3,7
Medico,2,7
"Dott. Medicina,",2,7
dentista,2,7
medico chirurgo,2,7
MEDICO CHIRURGO,1,7
Medico Chirurgo,1,7
Medicina Interna,1,7
Docente malattie del bambini,1,7
 Medio acg. dr. Ulisse Camalfi. Consulente ordinario dr. Tancredi Cortei,1,7
Clinica,1,7
farmacia,1,7
"Gr. uff, dr. arch., ",1,7
Medico Chirurgo Ostetrico,1,7
Specialista Malattie Lattanti e Bambini,1,7
dott.,1,7
Medicina Generale,1,7
medico pediatra,1,7
colonnello medico,1,7
Anatomia,1,7
Arciprete-parroco,13,8
professore,5,8
vicario,3,8
Parroco,3,8
", MUNICIPIO",3,8
Assistente,2,8
Sindaco,2,8
Rettore,2,8
parroco,2,8
" Titolare Procuratore, ",2,8
Deputato,1,8
Deputato dell'Amministrazione della Provincia,1,8
"Primo Assistente, ",1,8
Sovrintendente,1,8
"Ispettore Onorario, prof. Amedeo Gottardi",1,8
deputato Amminist. della Provincia,1,8
Ispettore Istituto Aut. per le case popolari,1,8
Professore,1,8
Conduttore,1,8
Segretario Ispet. Ispt. Circoscrizione Doganale,1,8
presidi,1,8
Vicario S. Andrea Apostolo,1,8
Vice Ispet. di Zona,1,8
Prosindaco del Municipio,1,8
Assistente del Genio Civile,1,8
Primo Segretario Uffici Centrali dell'Amministrazione della Provincia,1,8
"Conservatore, ",1,8
Sezioni Provinciali Proprietari Conduttori,1,8
Proprietari con beni affittati,1,8
Affittuari Conduttori,1,8
Membro effettivo; Commissario straordinario per la Presidenza,1,8
Canonici residenziali (arcidiacono prima dignità),1,8
(interno Municipio),1,8
V. Presidente Ass. Inquilini e Senza Tetto,1,8
 Titolare Procuratore,1,8
Sovraintendente,1,8
Amministratore,1,8
Vice Prefetto ispett.,1,8
V. Prefetto Ispett.,1,8
Vice Prefetto Ispett.,1,8
Membro effettivo,1,8
ACCADEMIA di Belle Arti e Liceo Artistico,13,9
SCUOLA GRANDE DI SAN ROCCO,4,9
Educazione fisica,3,9
Laboratorio Scuola per Falegnami,1,9
Scuola: « G. Gozzi »,1,9
Scuola: « Giacinto Gallina »,1,9
Scuola: S. Maria Formosa,1,9
Scuola: Luigi Cadorna,1,9
Scuola Michele Renier,1,9
Scuola Armando Diaz,1,9
Scuola Alfredo Oriani,1,9
Scuola A. Scarsellini,1,9
Scuola E. De Amicis,1,9
Scuola Diedo,1,9
Scuola Giudecca,1,9
Scuola Marghera,1,9
Scuola Catene,1,9
Scuola Villabona,1,9
Scuola Chirignago,1,9
Scuola Asseggiano,1,9
Scuola Ca Emiliani,1,9
Scuola Malcontenta,1,9
Scuola Carpenedo,1,9
Scuola « Ugo Foscolo »,1,9
SCUOLA MAGISTRALE RICONOSCIUTA,1,9
SCUOLA MEDIA PARIFICATA,1,9
COLLEGIO ARMENO « M. RAPHAEL »,1,9
Accademia di Belle Arti,1,9
Procuratore della Scuola Mer-letti di Murano,1,9
Insegnante Accademia di Belle Arti,1,9
Scuola Infermiere della Croce Rossa Italiana,1,9
SCUOLA MERLETTI DI BURANO REGINA ELENA,1,9
SCUOLA ARICCONFRATERNITA DI SAN CRISTOFORO E COMPAGNIA DELLA MISERICORDIA,1,9
"Scuole ginnasiali e Liceo classico, Istituto tecnico industriale",1,9
"Istituto Coletti con scuole per meccanici, falegnami-calzolai",1,9
Macchine per scrivere - Calcolatrici - Duplicatori,360,10
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,359,10
Duplicatori,51,10
Forniture compiete MOBILI e ACCESSORI per UFFICIO,46,10
BICROMIE TRICROMIE FOTOLITO,18,10
 filati e affini,18,10
dettaglio,9,10
Category: Vetro e Ceramica,5,10
 filati,4,10
 giornali,3,10
 affini (vendita),3,10
 confezioni,3,10
filati e affini,2,10
GABINETTI DENTISTICI,2,10
filati,2,10
rivendita,2,10
tessuti filati,2,10
 riproduzioni ed oggetti artistici,2,10
 articoli da viaggio,2,10
 noleggio riparazioni),2,10
 giocattoli,2,10
 Caccia e Pesca,1,10
pittrici,1,10
 cicli e accessori,1,10
 vernici,1,10
 spec. Vernizione,1,10
 tessuti,1,10
corredi,1,10
stuccchi edile,1,10
uova,1,10
gabinetti di posa),1,10
esercizi,1,10
 Dettaglio,1,10
 Tessuti,1,10
Leggere e rapide,1,10
color e vernici,1,10
 filiati e affini,1,10
 Serramenti ed Affissi,1,10
autorimessa,1,10
 cm. fezione,1,10
Articoli Tecnici,1,10
articoli casalinghi,1,10
(edicola),1,10
dolciumi,1,10
 Lavorazione 'Acurata,1,10
 vetrerie e oggetti artistici,1,10
 spazzole,1,10
 oggetti artistici,1,10
 smalti ecc.,1,10
confezioni iliati,1,10
 affini (vendi-ta),1,10
 stampe,1,10
 Grande Salone per banchetti e Rinfreschi,1,10
 Forniture,1,10
Fabbrica Timbri - Studio Incisioni,1,10
cristali e spechi,1,10
 fotografi,1,10
vele e bandiere,1,10
"Lavori Fotografici, Fotomateriale",1,10
"Laboratorio Cornici ed Affini, Vetri, Specchi, Cristalli, Quadri",1,10
corieettine e pele,1,10
articoli fotografici,1,10
 espressi telegrammi,1,10
Articoli Casalinghi,1,10
 confizioni,1,10
OCCASIONI - CAMBI - RICOMISSIONI - NOLEGGI,1,10
 munizioni,1,10
 maioliche artistiche,1,10
confezioni,1,10
Arredamento e temi,1,10
 specialità veneziane articoli sportivi,1,10
 interni,1,10
 riproduzioni quadri,1,10
Tutti i prodotti ZAMPIRONI sono di massima fiducia,1,10
(dettaglio),1,10
dommatica,1,10
 aggiunto,1,10
 edicola,1,10
 Tappeti,1,10
 tessuti seterie e affini,1,10
abiti confezionati,1,10
 Calze,1,10
vetrerie in genere lampadari,1,10
 vendita immobili,1,10
 articoli casalinghi,1,10
 riproduzioni di oggetti artistici,1,10
(gab. inetti di posa),1,10
Legname Compensato,1,10
radio e accessorii,1,10
mobili,1,10
 cuoi ed affini,1,10
Decorazione,1,10
Plastica Ornamentale,1,10
ARTI GRAFICHE ESPERIA,91,11
Ing. A. Carretta e Geom. M. Monopoli,33,11
"SCIENTIFICA E MAGISTRALE,",17,11
Meccanica,9,11
Chimica,4,11
Ragioneria generale ed applicata,2,11
"Applicato, ",2,11
Bimestrale,2,11
Geometra principale del,1,11
 calcolatrice,1,11
 scientifica,1,11
(Cronometriosta),1,11
Divisione tecnologica,1,11
Statistica,1,11
Matematica generale e di Matematica finanziaria,1,11
Demografia generale,1,11
Statistica (incar.),1,11
Ragioneria generale ed applicata (id.),1,11
Matematica finanziaria (id.),1,11
Geografia,1,11
"per Mineralogia e geologia, ",1,11
"per Chimica generale ed applicata, ",1,11
"per impianti tecnici, Estimo ed esercizio professionale, ",1,11
"per Meccanica razionale e statistica grafica, ",1,11
"per Fisica, Fisica tecnica, ",1,11
"per analisi matematica e geometria analitica (2.0 anno), ",1,11
