profession,frequency,cluster_id
Vendita e Mobilizzi,544,0
CIMITERI COMUNALI,139,0
Concessionario esclusivo: Rag. Cleto Rossini,124,0
al Porto di Venezia,119,0
AFFITTAVOLI,54,0
Commissariato di S. Elena,52,0
Agenzia P. Bortoluzzi,48,0
FERROVIE DELLO STATO,44,0
Giovanni e Paolo,37,0
Ufficio postale,32,0
PARROCCHIE E SUCCURSALI,29,0
Società MARE,27,0
BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,24,0
Società in NOME COLLETTIVO,18,0
Agenzia Nazionale Stampa Associata,18,0
ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,17,0
Comitato di Venezia,17,0
numero. 920,17,0
OPERA NAZIONALE PER LA PROTEZIONE E ASSISTENZA DEGLI INVALIDI DI GUERRA,16,0
CIRCOLO ARTISTICO DI VENEZIA,15,0
IL MATTINO DEL POPOLO,11,0
Vanoni Ezio,10,0
DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,9,0
SOCIETA' CANOTTIERI BUCIUNTORO,8,0
Attività varie,7,0
CONSORZIO DI BONIFICA DESE SUPERIORE,7,0
SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,6,0
Azienda Idroelettrica,5,0
Commissione del Listino,5,0
DELLA CA’ PESARO,4,0
DIREZIONE BELLE ARTI DEL COMUNE,4,0
SPORT OLIMPICI,4,0
Category: Provvianza e Credito,4,0
GUÏDA COMMERCIALE DI VENEZIA E PROVINCIA,4,0
Società Cooperativa Lavori e Recuperi Marittimi e Fluviali A. r. l.,4,0
Category: Attività Marittime ed Aeree,3,0
Venezia,3,0
CASINO DI COMMERCIO,3,0
Squadra Mobile,3,0
Altri Consolati aventi giurisdizione sulla Regione Veneta,2,0
QUERINI STAMPALIA,2,0
SOCIETA ITALIANA DEGLI AUTORI ED EDITORI,2,0
Osp. Civile,2,0
Società di assicurazioni,2,0
